Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,417,11.323,11.323,3.139,3.139,4.6244,4.6244,0.833,0.833,6.667,6.667,0.0100,0.0000000,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,200,417,4.119,2.927,3.684,2.728,3.7858,4.2203,18.333,10.779,40.000,28.980,0.0100,0.0009518,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,400,417,3.740,2.973,3.282,2.793,2.9772,3.7415,30.000,19.778,59.167,44.366,0.0100,0.0021325,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,0,417,3.535,3.535,3.080,3.080,2.7652,2.7652,36.667,36.667,70.000,70.000,0.0100,0.0021320,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,200,417,2.918,2.929,2.491,2.768,2.2747,2.5154,46.667,41.331,74.167,72.948,0.0100,0.0021243,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,400,417,2.681,2.894,2.242,2.734,1.9329,2.3277,54.167,44.647,80.000,75.621,0.0100,0.0021127,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,0,417,3.289,3.289,2.839,2.839,2.0934,2.0934,51.667,51.667,75.833,75.833,0.0100,0.0021116,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,200,417,3.066,2.977,2.633,2.816,1.9696,1.8812,50.000,53.379,76.667,81.422,0.0100,0.0021473,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,400,417,3.605,2.984,3.171,2.824,1.5361,1.8179,59.167,54.277,86.667,82.138,0.0100,0.0023120,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,0,417,3.740,3.740,3.290,3.290,1.6626,1.6626,56.667,56.667,83.333,83.333,0.0100,0.0023426,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,200,417,3.132,2.943,2.692,2.782,1.6722,1.6243,55.000,58.027,82.500,84.449,0.0100,0.0024018,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,400,417,2.397,2.958,1.969,2.798,1.2251,1.5801,69.167,58.888,92.500,84.765,0.0100,0.0026006,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,0,417,2.821,2.821,2.378,2.378,1.3438,1.3438,65.000,65.000,87.500,87.500,0.0100,0.0025993,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,200,417,3.056,2.969,2.619,2.808,1.2774,1.4778,65.833,61.385,89.167,86.020,0.0100,0.0026024,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,400,417,1.184,3.030,0.760,2.870,1.4764,1.4597,61.667,61.737,85.000,86.216,0.0100,0.0025892,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
5,0,417,2.826,2.826,2.391,2.391,1.3635,1.3635,61.667,61.667,88.333,88.333,0.0100,0.0027204,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
5,200,417,3.076,2.923,2.651,2.762,1.3371,1.3572,65.833,64.573,89.167,87.396,0.0100,0.0027585,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
5,400,417,3.746,2.916,3.316,2.756,1.4386,1.3614,60.833,64.104,86.667,87.452,0.0100,0.0027377,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
6,0,417,3.894,3.894,3.446,3.446,1.2417,1.2417,66.667,66.667,87.500,87.500,0.0100,0.0027551,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
6,200,417,3.395,2.945,2.940,2.784,1.2749,1.3236,65.833,64.677,86.667,87.881,0.0100,0.0027314,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
6,400,417,2.314,2.960,1.877,2.800,1.2563,1.3158,64.167,64.919,90.833,87.982,0.0100,0.0028473,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
7,0,417,2.840,2.840,2.408,2.408,1.1613,1.1613,70.000,70.000,89.167,89.167,0.0100,0.0029110,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
7,200,417,3.332,2.960,2.900,2.799,1.3602,1.2569,65.833,66.459,85.833,88.781,0.0100,0.0029842,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
7,400,417,3.295,2.946,2.868,2.786,1.2246,1.2630,67.500,66.286,84.167,88.525,0.0100,0.0030653,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
8,0,417,3.526,3.526,3.095,3.095,1.0701,1.0701,70.000,70.000,94.167,94.167,0.0100,0.0030634,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
8,200,417,2.769,2.953,2.338,2.793,1.3310,1.2145,67.500,67.649,85.833,89.270,0.0100,0.0030538,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
8,400,417,2.917,2.923,2.478,2.763,1.0383,1.2319,71.667,67.057,90.833,88.980,0.0100,0.0030436,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
9,0,417,3.322,3.322,2.894,2.894,1.1674,1.1674,70.000,70.000,88.333,88.333,0.0100,0.0030664,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
9,200,417,3.943,2.953,3.445,2.792,1.2229,1.2046,67.500,67.857,90.833,89.378,0.0100,0.0030514,3278.1026 M,4087.3412 M, 25529472.0000 M, 18062688.0000 M
9,400,417,3.765,2.970,3.314,2.810,1.1019,1.2104,68.333,67.789,94.167,89.246,0.0100,0.0031201,3021.2015 M,4087.3412 M, 25529472.0000 M, 16356576.0000 M
10,0,417,3.008,3.008,2.558,2.558,1.2918,1.2918,69.167,69.167,87.500,87.500,0.0100,0.0032661,3021.2015 M,4087.3412 M, 25529472.0000 M, 16356576.0000 M
10,200,417,3.954,3.037,3.507,2.875,1.5752,1.1639,57.500,68.864,82.500,89.444,0.0100,0.0033063,2910.8143 M,4087.3412 M, 25529472.0000 M, 16335392.0000 M
10,400,417,3.071,3.019,2.643,2.859,0.9958,1.1714,73.333,68.655,90.833,89.464,0.0100,0.0032968,2853.0116 M,4087.3412 M, 25529472.0000 M, 16316928.0000 M
11,0,417,3.604,3.604,3.168,3.168,1.0663,1.0663,71.667,71.667,91.667,91.667,0.0100,0.0033162,2853.0116 M,4087.3412 M, 25529472.0000 M, 16316928.0000 M
11,200,417,3.831,2.963,3.377,2.802,1.2357,1.1509,70.000,69.080,85.000,89.631,0.0100,0.0033009,2795.2088 M,4087.3412 M, 25529472.0000 M, 16298464.0000 M
11,400,417,3.354,2.978,2.925,2.818,1.3470,1.1708,63.333,68.508,87.500,89.408,0.0100,0.0032868,2795.2088 M,4087.3412 M, 25529472.0000 M, 16298464.0000 M
12,0,417,3.263,3.263,2.793,2.793,1.0287,1.0287,75.833,75.833,89.167,89.167,0.0100,0.0033248,2795.2088 M,4087.3412 M, 25529472.0000 M, 16298464.0000 M
12,200,417,2.943,3.071,2.511,2.910,1.1480,1.1680,65.833,69.022,93.333,89.266,0.0100,0.0033162,2743.8286 M,4087.3412 M, 25529472.0000 M, 16257120.0000 M
12,400,417,3.345,3.054,2.880,2.894,1.2846,1.1727,60.833,68.761,90.833,89.327,0.0100,0.0034555,2204.3362 M,4087.3412 M, 25529472.0000 M, 12144736.0000 M
13,0,417,2.877,2.877,2.450,2.450,1.0455,1.0455,70.000,70.000,95.833,95.833,0.0100,0.0034715,2204.3362 M,4087.3412 M, 25529472.0000 M, 12144736.0000 M
13,200,417,3.693,2.935,3.255,2.774,1.2959,1.1517,61.667,68.980,86.667,89.934,0.0100,0.0034644,2178.6461 M,4087.3412 M, 25529472.0000 M, 12136416.0000 M
13,400,417,3.612,2.949,3.181,2.789,1.1949,1.1728,69.167,68.595,84.167,89.514,0.0100,0.0034819,2127.2659 M,4087.3412 M, 25529472.0000 M, 11996992.0000 M
14,0,417,2.404,2.404,1.976,1.976,1.1809,1.1809,70.000,70.000,89.167,89.167,0.0100,0.0035350,2127.2659 M,4087.3412 M, 25529472.0000 M, 11996992.0000 M
14,200,417,2.836,2.949,2.412,2.788,1.2214,1.1523,66.667,68.922,89.167,89.685,0.0100,0.0035371,2101.5758 M,4087.3412 M, 25529472.0000 M, 11988672.0000 M
14,400,417,3.894,2.941,3.463,2.781,1.1812,1.1697,68.333,68.489,89.167,89.495,0.0100,0.0035245,2101.5758 M,4087.3412 M, 25529472.0000 M, 11988672.0000 M
15,0,417,3.082,3.082,2.651,2.651,1.0928,1.0928,66.667,66.667,90.833,90.833,0.0100,0.0035347,2101.5758 M,4087.3412 M, 25529472.0000 M, 11988672.0000 M
15,200,417,4.024,2.962,3.588,2.801,1.2197,1.1682,66.667,68.860,87.500,89.337,0.0100,0.0035420,2075.8857 M,4087.3412 M, 25529472.0000 M, 11955840.0000 M
15,400,417,3.689,2.923,3.264,2.763,1.2085,1.1851,66.667,68.202,85.000,89.169,0.0100,0.0035980,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
16,0,417,3.639,3.639,3.211,3.211,1.1108,1.1108,68.333,68.333,88.333,88.333,0.0100,0.0036481,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
16,200,417,2.595,2.914,2.167,2.753,1.2534,1.1514,64.167,69.461,89.167,89.544,0.0100,0.0036334,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
16,400,417,3.466,2.937,3.040,2.777,1.4911,1.1777,56.667,68.479,82.500,89.293,0.0100,0.0036568,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
17,0,417,2.993,2.993,2.570,2.570,1.1329,1.1329,70.000,70.000,89.167,89.167,0.0100,0.0036790,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
17,200,417,2.642,2.930,2.214,2.769,1.1123,1.1777,70.833,68.391,90.833,89.353,0.0100,0.0036649,2050.1956 M,4087.3412 M, 25529472.0000 M, 11947616.0000 M
17,400,417,2.769,2.925,2.338,2.765,1.3370,1.2047,60.000,67.693,85.833,89.050,0.0100,0.0036668,1928.1675 M,4087.3412 M, 25529472.0000 M, 10028160.0000 M
18,0,417,3.169,3.169,2.731,2.731,1.2747,1.2747,61.667,61.667,86.667,86.667,0.0100,0.0036917,1899.2661 M,4087.3412 M, 25529472.0000 M, 9880640.0000 M
18,200,417,3.662,2.933,3.223,2.772,1.2204,1.1690,70.000,68.926,88.333,89.221,0.0100,0.0037612,1668.0551 M,4087.3412 M, 25529472.0000 M, 9170640.0000 M
18,400,417,4.157,2.959,3.728,2.799,1.2714,1.1860,65.000,68.236,89.167,89.158,0.0100,0.0037991,1616.6749 M,4087.3412 M, 25529472.0000 M, 8514640.0000 M
19,0,417,3.530,3.530,3.086,3.086,1.1045,1.1045,73.333,73.333,91.667,91.667,0.0100,0.0037967,1590.9848 M,4087.3412 M, 25529472.0000 M, 8383312.0000 M
19,200,417,3.233,2.965,2.806,2.804,1.1314,1.1645,68.333,68.934,91.667,89.561,0.0100,0.0037750,1510.7032 M,4087.3412 M, 25529472.0000 M, 8280688.0000 M
19,400,417,3.405,2.921,2.970,2.761,1.1140,1.1976,72.500,67.691,91.667,89.158,0.0100,0.0037814,1510.7032 M,4087.3412 M, 25529472.0000 M, 8280688.0000 M
20,0,417,3.277,3.277,2.818,2.818,1.0087,1.0087,74.167,74.167,91.667,91.667,0.0100,0.0037821,1510.7032 M,4087.3412 M, 25529472.0000 M, 8280688.0000 M
20,200,417,3.411,2.913,2.957,2.752,1.2199,1.2085,65.000,67.629,88.333,88.897,0.0100,0.0037568,1456.1117 M,4087.3412 M, 25529472.0000 M, 8263232.0000 M
20,400,417,3.988,2.886,3.543,2.726,1.2711,1.2192,64.167,67.140,90.833,88.851,0.0100,0.0037871,1456.1117 M,4087.3412 M, 25529472.0000 M, 8263232.0000 M
21,0,417,2.722,2.722,2.289,2.289,1.5281,1.5281,62.500,62.500,82.500,82.500,0.0100,0.0038312,1456.1117 M,4087.3412 M, 25529472.0000 M, 8263232.0000 M
21,200,417,1.910,2.927,1.482,2.766,1.2327,1.1741,65.000,68.553,88.333,89.204,0.0100,0.0038466,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
21,400,417,2.685,2.922,2.255,2.762,1.2443,1.1984,64.167,67.934,92.500,88.955,0.0100,0.0038746,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
22,0,417,3.158,3.158,2.712,2.712,1.4715,1.4715,63.333,63.333,79.167,79.167,0.0100,0.0038744,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
22,200,417,2.797,2.907,2.363,2.746,1.3256,1.1761,60.000,68.300,86.667,89.573,0.0100,0.0038546,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
22,400,417,3.737,2.936,3.309,2.776,1.4516,1.2068,55.000,67.583,86.667,89.108,0.0100,0.0038376,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
23,0,417,3.946,3.946,3.512,3.512,1.2698,1.2698,65.000,65.000,89.167,89.167,0.0100,0.0038441,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
23,200,417,3.501,2.953,3.076,2.794,1.2253,1.2079,67.500,67.832,90.000,89.001,0.0100,0.0038243,1427.2103 M,4087.3412 M, 25529472.0000 M, 8254000.0000 M
23,400,417,3.198,2.964,2.766,2.805,1.0948,1.2248,68.333,67.207,93.333,88.847,0.0100,0.0038643,1205.0310 M,4087.3412 M, 25529472.0000 M, 6380144.0000 M
24,0,417,3.683,3.683,3.260,3.260,1.3402,1.3402,64.167,64.167,85.833,85.833,0.0100,0.0039050,1192.1860 M,4087.3412 M, 25529472.0000 M, 6314544.0000 M
24,200,417,2.983,2.968,2.557,2.808,1.3647,1.2109,65.833,67.600,87.500,88.993,0.0100,0.0039121,1113.5100 M,4087.3412 M, 25529472.0000 M, 5912720.0000 M
24,400,417,2.860,2.957,2.436,2.798,1.3918,1.2300,66.667,67.103,85.000,88.815,0.0100,0.0039015,1030.0171 M,4087.3412 M, 25529472.0000 M, 5266776.0000 M
25,0,417,3.608,3.608,3.167,3.167,1.2578,1.2578,70.000,70.000,86.667,86.667,0.0100,0.0039292,1030.0171 M,4087.3412 M, 25529472.0000 M, 5266776.0000 M
25,200,417,2.621,2.939,2.181,2.779,1.5877,1.2445,55.000,66.886,83.333,88.831,0.0100,0.0039007,1015.5664 M,4087.3412 M, 25529472.0000 M, 5193016.0000 M
25,400,417,2.675,2.938,2.249,2.779,1.4806,1.2554,61.667,66.436,85.833,88.620,0.0100,0.0038867,962.5806 M,4087.3412 M, 25529472.0000 M, 4787144.0000 M
26,0,417,3.388,3.388,2.940,2.940,1.2742,1.2742,63.333,63.333,92.500,92.500,0.0100,0.0038925,962.5806 M,4087.3412 M, 25529472.0000 M, 4787144.0000 M
26,200,417,2.753,2.928,2.327,2.769,1.1942,1.2577,69.167,66.654,89.167,88.416,0.0100,0.0038741,893.5384 M,4087.3412 M, 25529472.0000 M, 4551416.0000 M
26,400,417,2.332,2.979,1.901,2.820,1.2411,1.2784,67.500,66.058,91.667,88.113,0.0100,0.0038681,838.9469 M,4087.3412 M, 25529472.0000 M, 4334072.0000 M
27,0,417,1.712,1.712,1.267,1.267,1.5195,1.5195,59.167,59.167,84.167,84.167,0.0100,0.0038823,826.1019 M,4087.3412 M, 25529472.0000 M, 4317624.0000 M
27,200,417,3.371,2.962,2.938,2.802,1.3585,1.2395,65.833,66.895,88.333,88.545,0.0100,0.0038792,785.9611 M,4087.3412 M, 25529472.0000 M, 4278648.0000 M
27,400,417,3.349,2.962,2.927,2.804,1.8112,1.2624,55.000,66.328,79.167,88.352,0.0100,0.0039261,771.5104 M,4087.3412 M, 25529472.0000 M, 4274032.0000 M
28,0,417,2.731,2.731,2.285,2.285,1.2896,1.2896,66.667,66.667,87.500,87.500,0.0100,0.0039536,771.5104 M,4087.3412 M, 25529472.0000 M, 4274032.0000 M
