iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
83,84,1.254,2.559,2.4392,2.3419,47.500,48.510,80.000,81.030
83,84,0.676,2.630,1.5915,1.4247,62.500,63.130,90.000,90.590
83,84,0.801,2.566,1.0914,1.1091,70.000,69.680,92.500,93.560
83,84,1.235,2.574,0.9023,0.9466,75.000,72.950,92.500,94.890
83,84,0.817,2.528,0.8637,0.8486,77.500,75.260,92.500,95.630
83,84,1.007,2.599,0.6354,0.8161,90.000,76.080,92.500,95.710
83,84,0.819,2.562,0.6190,0.7691,82.500,77.220,100.000,96.080
83,84,0.496,2.387,0.8675,0.7711,70.000,77.230,92.500,96.140
83,84,1.026,2.474,0.5796,0.7960,90.000,76.690,95.000,95.780
83,84,0.696,2.544,0.5701,0.7285,87.500,78.500,97.500,96.210
83,84,0.483,2.531,0.6060,0.7529,87.500,78.010,92.500,95.940
83,84,0.845,2.618,0.8469,0.7619,77.500,77.560,97.500,96.220
83,84,0.573,2.551,0.7056,0.7677,82.500,76.770,95.000,95.860
83,84,0.867,2.540,0.4398,0.8077,90.000,76.630,97.500,95.540
83,84,0.938,2.583,0.5451,0.8230,85.000,75.650,100.000,95.310
83,84,0.783,2.531,0.9685,0.8081,75.000,76.630,97.500,95.400
83,84,0.781,2.547,0.8231,0.8434,77.500,75.280,90.000,94.890
83,84,1.078,2.559,1.0304,0.8512,75.000,75.510,97.500,94.920
83,84,0.726,2.558,1.0372,0.8814,57.500,74.130,95.000,94.430
83,84,0.905,2.549,1.0402,0.9147,77.500,73.380,95.000,94.280
83,84,0.614,2.528,0.8860,1.0513,72.500,70.100,90.000,92.930
83,84,0.780,2.563,0.9371,0.9537,67.500,72.720,95.000,93.900
83,84,1.139,2.580,0.6976,0.8686,75.000,75.040,97.500,94.590
83,84,0.350,2.558,1.0905,0.9848,77.500,71.900,95.000,93.490
83,84,1.126,2.551,1.1379,1.0761,67.500,69.500,92.500,93.110
83,84,0.730,2.525,1.2609,1.0401,70.000,70.040,87.500,92.760
83,84,1.237,2.651,1.3985,1.1156,62.500,68.930,90.000,92.290
83,84,0.886,2.536,1.4727,1.0318,60.000,70.550,82.500,92.680
