Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,6406,17.959,17.959,6.137,6.137,6.9082,6.9082,0.000,0.000,0.500,0.500,0.0100,0.0228732,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,200,6406,5.532,6.335,5.304,6.042,6.8880,7.0600,0.000,0.216,0.500,0.983,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,400,6406,5.401,6.308,5.153,6.043,6.5366,6.8818,0.000,0.340,2.500,1.579,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,600,6406,7.361,6.318,7.110,6.063,6.3630,6.7549,2.000,0.569,7.500,2.365,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,800,6406,5.928,6.308,5.674,6.058,6.1974,6.6204,3.000,0.922,6.500,3.484,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1000,6406,6.379,6.303,6.145,6.056,5.6601,6.4672,4.500,1.559,14.500,5.152,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1200,6406,6.410,6.293,6.166,6.048,5.1277,6.3017,10.000,2.448,23.000,7.303,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1400,6406,5.669,6.286,5.435,6.042,5.0427,6.1332,10.000,3.603,26.000,9.810,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1600,6406,6.601,6.288,6.369,6.045,4.6420,5.9659,15.500,4.955,33.500,12.525,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1800,6406,6.555,6.283,5.918,6.041,4.3673,5.8094,19.500,6.348,36.000,15.191,0.0100,0.0001227,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,2000,6406,6.425,6.283,6.181,6.042,4.5121,5.6621,13.000,7.770,35.500,17.750,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,2200,6406,6.362,6.284,6.110,6.043,3.9883,5.5227,23.000,9.225,50.500,20.238,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,2400,6406,6.652,6.284,6.409,6.044,3.8898,5.3944,27.000,10.608,49.500,22.534,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,2600,6406,6.337,6.284,6.108,6.044,3.9299,5.2727,25.000,11.977,51.000,24.724,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,2800,6406,5.959,6.279,5.719,6.039,3.8005,5.1621,30.000,13.236,51.000,26.713,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,3000,6406,5.985,6.276,5.735,6.037,3.5266,5.0584,36.000,14.450,52.500,28.553,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,3200,6406,5.209,6.279,4.981,6.040,3.5041,4.9617,34.000,15.587,54.500,30.291,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,3400,6406,6.259,6.279,6.012,6.040,3.2858,4.8718,35.500,16.672,60.500,31.895,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,3600,6406,6.711,6.282,6.064,6.043,3.3572,4.7895,35.000,17.671,59.500,33.374,0.0100,0.0001877,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,3800,6406,6.098,6.280,5.864,6.041,3.4671,4.7111,36.000,18.653,54.500,34.772,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,4000,6406,7.083,6.285,6.848,6.047,3.0209,4.6379,41.000,19.582,66.500,36.074,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
