Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,49,50,0.950,0.994,4.1734,4.1510,6.500,7.630,26.500,25.080
0,1,49,50,0.957,0.987,4.0115,3.9401,8.000,10.960,28.500,31.160
0,2,49,50,5.212,5.132,3.8659,3.7901,12.000,14.090,33.500,36.110
0,3,49,50,4.998,5.187,3.5861,3.6751,16.000,15.310,42.000,39.550
0,4,49,50,4.645,5.010,3.7576,3.7673,14.500,12.070,34.000,34.830
0,5,49,50,4.481,5.062,3.4834,3.5046,18.000,18.770,45.000,44.650
0,6,49,50,4.459,5.226,3.4174,3.3679,21.500,21.380,52.000,49.660
0,7,49,50,5.309,4.998,3.2411,3.3700,23.500,21.160,53.500,47.850
0,8,49,50,4.568,5.165,3.3527,3.2918,24.500,22.360,47.000,49.660
0,9,49,50,5.192,5.000,3.1863,3.2330,24.000,22.890,51.000,51.660
0,10,49,50,5.397,4.988,3.4758,3.3446,21.000,21.350,45.000,48.530
0,11,49,50,4.642,4.799,3.0475,3.1295,31.500,25.760,58.000,54.600
0,12,49,50,4.479,5.136,3.1523,3.1560,27.500,24.670,56.000,53.800
0,13,49,50,5.067,5.100,2.9201,3.0333,33.000,27.260,59.500,56.430
0,14,49,50,4.958,5.137,3.1682,3.0502,28.000,26.630,52.000,55.550
0,15,49,50,5.855,5.069,3.1590,3.0592,22.500,25.740,50.500,55.350
0,16,49,50,0.941,0.977,3.0705,3.0120,23.000,26.720,54.000,56.290
0,17,49,50,0.957,0.983,2.7885,2.9266,31.000,28.700,61.000,58.380
0,18,49,50,0.933,0.980,3.0931,3.0258,24.500,27.440,53.500,56.390
0,19,49,50,0.931,0.968,3.1019,3.0529,22.000,26.180,53.500,55.820
0,20,49,50,0.959,0.980,2.9602,2.9909,25.500,28.170,60.000,57.550
0,21,49,50,0.931,0.977,2.9895,2.9712,27.500,27.580,55.500,56.820
0,22,49,50,0.930,0.977,2.6603,2.8258,38.000,30.890,68.000,61.540
0,23,49,50,0.932,0.967,2.8299,2.8762,30.500,29.600,59.500,59.050
0,24,49,50,0.974,0.991,2.9756,2.7518,25.000,32.360,57.500,62.760
0,25,49,50,0.929,0.976,3.0739,3.0515,28.500,25.750,55.000,54.810
0,26,49,50,0.950,0.984,3.0638,2.8471,30.000,30.510,56.000,60.360
0,27,49,50,4.727,4.943,2.9850,2.9963,29.000,26.750,55.000,56.010
0,28,49,50,4.718,5.148,2.9083,2.9857,29.000,27.080,61.000,56.000
0,29,49,50,5.430,5.163,2.6243,2.7034,35.000,32.680,66.500,63.550
0,30,49,50,4.562,5.276,2.6545,2.6571,35.500,34.010,63.000,64.650
0,31,49,50,5.382,5.150,2.9419,2.6973,29.000,33.640,54.500,63.130
0,32,49,50,4.563,5.085,2.8501,2.7282,29.000,32.100,64.500,63.270
0,33,49,50,5.309,5.151,2.7303,2.7460,34.000,31.430,60.500,62.160
0,34,49,50,4.777,5.094,2.7570,2.7225,31.000,31.810,59.500,62.460
0,35,49,50,5.385,5.028,2.6968,2.6698,30.000,32.870,66.000,64.270
0,36,49,50,5.046,5.121,2.8173,2.6853,31.500,32.810,65.000,63.670
0,37,49,50,5.638,5.291,2.7290,2.7772,32.500,30.620,61.500,60.770
0,38,49,50,4.789,4.990,2.6991,2.6071,31.500,34.390,64.500,65.410
0,39,49,50,5.552,5.103,2.4956,2.4642,38.500,37.530,67.000,68.150
0,40,49,50,5.748,4.992,2.3282,2.4204,42.500,37.850,73.500,69.080
0,41,49,50,5.284,5.101,2.4896,2.3933,41.000,38.970,68.000,69.790
0,42,49,50,4.746,5.260,2.3689,2.4547,40.500,37.090,69.500,68.150
0,43,49,50,6.365,5.291,2.4222,2.3965,41.000,38.830,70.500,69.710
0,44,49,50,5.399,4.968,2.2903,2.3940,40.000,38.550,67.000,69.620
0,45,49,50,3.650,5.126,2.3240,2.3473,45.000,39.480,72.500,70.490
0,46,49,50,5.751,4.954,2.2016,2.3476,46.000,39.730,73.500,70.320
0,47,49,50,5.384,4.949,2.3082,2.3725,41.000,39.070,73.000,70.050
0,48,49,50,5.205,5.016,2.3331,2.2463,37.500,41.810,73.000,72.850
0,49,49,50,5.500,5.100,2.2198,2.2823,43.000,41.090,75.000,72.380
