Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,417,11.025,11.025,2.859,2.859,4.6387,4.6387,2.500,2.500,10.000,10.000,0.0100,0.0000000,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,200,417,3.668,2.990,3.233,2.793,3.6324,4.1809,27.500,11.563,56.667,30.726,0.0100,0.0004760,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,400,417,2.825,2.993,2.395,2.817,2.6287,3.6774,39.167,20.715,72.500,46.145,0.0100,0.0009418,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,0,417,2.726,2.726,2.280,2.280,2.7708,2.7708,37.500,37.500,65.833,65.833,0.0100,0.0014839,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,200,417,3.588,2.866,3.151,2.708,2.0947,2.3966,49.167,43.773,80.000,74.395,0.0100,0.0021026,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,400,417,2.522,2.918,2.095,2.761,1.7715,2.2168,56.667,46.899,81.667,76.837,0.0100,0.0021056,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,0,417,3.568,3.568,3.130,3.130,2.1164,2.1164,46.667,46.667,75.000,75.000,0.0100,0.0021049,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,200,417,3.861,2.964,3.431,2.806,1.8468,1.8187,53.333,53.665,81.667,82.011,0.0100,0.0020953,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,400,417,3.397,3.006,2.940,2.848,1.7754,1.7601,51.667,54.823,84.167,82.668,0.0100,0.0021904,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,0,417,3.751,3.751,3.315,3.315,1.5346,1.5346,62.500,62.500,85.833,85.833,0.0100,0.0022790,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,200,417,3.049,3.008,2.600,2.850,1.5415,1.5714,60.000,58.657,85.833,85.220,0.0100,0.0022770,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,400,417,2.183,2.938,1.741,2.780,1.4737,1.5454,60.833,59.377,84.167,85.416,0.0100,0.0023009,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,0,417,2.402,2.402,1.960,1.960,1.4693,1.4693,60.833,60.833,85.833,85.833,0.0100,0.0023522,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
