iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
83,84,1.156,2.591,2.1029,2.1560,45.000,50.040,82.500,83.240
83,84,1.013,2.572,1.2798,1.3231,67.500,64.650,100.000,91.720
83,84,0.918,2.533,1.0280,1.0321,75.000,71.360,90.000,94.140
83,84,0.682,2.489,0.8037,0.8946,82.500,73.950,97.500,95.280
83,84,1.192,2.604,0.6710,0.8212,85.000,75.810,95.000,95.710
83,84,0.718,2.599,0.8858,0.7698,70.000,76.890,95.000,96.060
83,84,0.891,2.622,0.5338,0.7771,87.500,76.760,97.500,95.940
83,84,0.826,2.559,0.9383,0.7353,75.000,78.200,95.000,96.240
83,84,1.166,2.635,1.2624,0.7240,72.500,78.180,90.000,96.290
83,84,0.989,2.589,1.0090,0.7014,67.500,78.620,97.500,96.440
83,84,0.902,2.580,0.5254,0.6993,87.500,78.680,97.500,96.410
