Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,6406,12.934,12.934,0.726,0.726,6.9079,6.9079,0.000,0.000,0.000,0.000,0.0100,0.0228732,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,200,6406,0.627,0.717,0.383,0.418,6.7824,7.0844,0.500,0.239,2.500,1.062,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,400,6406,0.636,0.683,0.397,0.414,6.4955,6.8865,1.000,0.369,5.000,1.657,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,600,6406,0.627,0.675,0.386,0.416,6.4342,6.7554,0.000,0.562,2.000,2.392,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,800,6406,0.640,0.670,0.398,0.416,6.1120,6.6213,2.500,0.934,8.500,3.540,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1000,6406,0.657,0.669,0.416,0.418,5.6717,6.4721,6.000,1.557,14.000,5.219,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1200,6406,0.641,0.668,0.401,0.419,5.4701,6.3066,6.000,2.505,18.500,7.439,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1400,6406,0.668,0.668,0.429,0.421,5.1066,6.1352,10.500,3.712,23.500,9.996,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1600,6406,0.652,0.669,0.413,0.422,4.6004,5.9654,17.000,5.100,37.000,12.742,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
0,0,1800,6406,0.673,0.668,0.436,0.423,4.4017,5.8041,19.500,6.531,38.500,15.463,0.0100,0.0000000,3971.1713 M,3971.1713 M, 25520000.0000 M, 25520000.0000 M
