Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,249,250,0.582,0.607,2.6744,2.5033,44.500,47.100,72.500,72.918
0,1,249,250,0.599,0.608,2.6605,2.7850,43.000,41.406,72.500,67.822
0,2,249,250,0.602,0.608,2.6747,2.6621,40.000,42.728,67.500,69.966
0,3,249,250,0.620,0.604,2.6727,2.7516,40.000,40.906,71.500,67.648
0,4,249,250,0.640,0.607,3.1512,2.9710,31.500,38.394,59.000,65.298
0,5,249,250,0.588,0.605,2.9778,2.9622,36.000,37.140,65.000,64.788
0,6,249,250,0.607,0.605,3.4800,3.4915,29.500,29.378,59.000,56.600
0,7,249,250,0.597,0.603,3.7628,3.4982,25.500,27.230,50.000,54.248
0,8,249,250,0.627,0.613,3.5351,3.5177,28.000,26.538,50.500,53.208
1,9,249,250,0.644,0.609,2.7944,2.8623,36.000,36.224,62.500,64.450
1,10,249,250,0.614,0.607,2.4347,2.2944,48.000,46.584,69.500,73.876
1,11,249,250,0.593,0.608,2.1883,2.1629,45.500,48.962,80.000,75.868
1,12,249,250,0.584,0.606,2.1751,2.0234,52.000,51.800,79.000,78.050
1,13,249,250,0.632,0.612,2.2128,1.9765,48.500,52.950,72.500,78.716
1,14,249,250,0.605,0.616,1.7989,1.8900,56.500,54.656,82.500,79.966
1,15,249,250,0.642,0.615,1.8218,1.8599,55.000,55.202,81.500,80.372
1,16,249,250,0.630,0.611,1.8724,1.8341,55.500,55.806,78.500,80.654
1,17,249,250,0.597,0.615,1.7244,1.8101,58.500,56.404,84.000,81.104
1,18,249,250,0.626,0.606,1.7763,1.7713,56.000,57.144,80.500,81.508
1,19,249,250,0.634,0.616,1.6786,1.7557,57.500,57.528,82.000,81.876
1,20,249,250,0.664,0.619,1.8463,1.7391,51.000,57.772,79.500,82.094
