Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,250,3.169,3.169,0.374,0.374,4.6052,4.6052,1.500,1.500,6.000,6.000,0.0100,0.0265922,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,200,250,1.987,2.055,0.417,0.486,4.3323,4.4118,4.500,4.960,19.000,17.928,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,1,0,250,2.377,2.377,0.379,0.379,4.1168,4.1168,7.500,7.500,26.000,26.000,0.0100,0.0032999,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,1,200,250,1.978,2.069,0.473,0.536,3.8937,4.0936,10.500,8.649,32.500,26.047,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,2,0,250,2.457,2.457,0.456,0.456,3.9678,3.9678,7.500,7.500,32.000,32.000,0.0100,0.0032930,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,2,200,250,6.853,5.884,6.194,5.186,3.9591,3.9433,7.000,10.990,29.500,30.634,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,3,0,250,5.937,5.937,3.950,3.950,3.9173,3.9173,12.000,12.000,29.500,29.500,0.0100,0.0032801,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,3,200,250,8.114,6.059,7.436,5.382,3.8198,3.8435,14.500,12.316,29.500,33.657,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,4,0,250,5.968,5.968,3.987,3.987,3.7510,3.7510,15.500,15.500,39.500,39.500,0.0100,0.0032620,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,4,200,250,6.320,6.051,5.661,5.375,3.7329,3.7550,16.000,14.005,36.500,36.356,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,5,0,250,7.020,7.020,5.038,5.038,3.6861,3.6861,12.500,12.500,39.500,39.500,0.0100,0.0032395,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,5,200,250,6.356,5.990,5.697,5.314,3.5050,3.6792,18.500,15.206,45.000,38.333,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,6,0,250,7.156,7.156,5.151,5.151,3.5455,3.5455,13.000,13.000,41.500,41.500,0.0100,0.0032133,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,6,200,250,6.387,6.020,5.726,5.344,3.5214,3.5794,18.000,16.799,42.500,41.356,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,7,0,250,7.743,7.743,5.765,5.765,3.5665,3.5665,15.000,15.000,38.500,38.500,0.0100,0.0037271,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,7,200,250,5.760,6.031,5.099,5.355,3.5497,3.4903,14.500,18.296,38.000,43.960,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,8,0,250,7.064,7.064,5.089,5.089,3.5156,3.5156,21.500,21.500,41.500,41.500,0.0100,0.0037049,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,8,200,250,5.469,5.992,4.810,5.315,3.3520,3.4909,19.000,18.179,49.000,43.794,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,9,0,250,7.013,7.013,5.044,5.044,3.2931,3.2931,22.500,22.500,53.000,53.000,0.0100,0.0036774,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,9,200,250,6.498,6.130,5.839,5.454,3.5109,3.4635,21.500,18.816,41.000,44.269,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,10,0,250,7.878,7.878,5.905,5.905,3.2097,3.2097,26.000,26.000,51.000,51.000,0.0100,0.0044563,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,10,200,250,5.669,6.115,5.004,5.441,3.1407,3.4255,23.500,19.241,55.500,45.289,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,11,0,250,7.343,7.343,5.366,5.366,3.3760,3.3760,22.500,22.500,49.000,49.000,0.0100,0.0044311,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,11,200,250,5.777,5.959,5.105,5.284,3.3979,3.4144,20.000,19.463,47.500,45.585,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,12,0,250,7.443,7.443,5.462,5.462,3.3063,3.3063,20.000,20.000,50.000,50.000,0.0100,0.0044009,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,12,200,250,6.108,6.012,5.448,5.337,3.2032,3.3990,23.500,19.532,53.500,46.197,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,13,0,250,7.567,7.567,5.590,5.590,3.3526,3.3526,22.000,22.000,48.000,48.000,0.0100,0.0043664,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,13,200,250,6.093,6.111,5.434,5.436,3.3659,3.3908,20.000,19.776,50.000,46.224,0.0100,0.0000000,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,14,0,250,7.626,7.626,5.659,5.659,3.0639,3.0639,24.500,24.500,55.500,55.500,0.0100,0.0047435,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,14,200,250,5.456,6.046,4.768,5.372,3.1542,3.2401,27.000,22.659,52.500,50.294,0.0100,0.0000000,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,15,0,250,6.424,6.424,4.455,4.455,2.9414,2.9414,29.500,29.500,58.000,58.000,0.0100,0.0047174,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,15,200,250,5.342,6.060,4.681,5.385,3.0900,3.2542,22.500,22.256,53.500,49.948,0.0100,0.0000000,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,16,0,250,7.442,7.442,5.460,5.460,3.0238,3.0238,30.500,30.500,55.500,55.500,0.0100,0.0046865,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,16,200,250,1.987,3.812,0.422,2.659,3.3389,3.2743,21.500,22.134,46.500,49.177,0.0100,0.0000000,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,17,0,250,2.395,2.395,0.397,0.397,3.0553,3.0553,26.500,26.500,57.000,57.000,0.0100,0.0046515,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,17,200,250,1.987,1.983,0.442,0.451,3.2767,3.2781,22.500,22.087,50.500,48.993,0.0100,0.0000000,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,18,0,250,2.373,2.373,0.376,0.376,3.0814,3.0814,27.500,27.500,56.000,56.000,0.0100,0.0046129,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,18,200,250,1.981,1.983,0.412,0.443,3.3168,3.2877,19.000,21.776,49.500,48.801,0.0100,0.0000000,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,19,0,250,2.346,2.346,0.350,0.350,3.2667,3.2667,20.500,20.500,49.000,49.000,0.0100,0.0045711,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,19,200,250,2.003,1.983,0.473,0.446,3.3984,3.2888,20.500,21.428,46.000,48.938,0.0100,0.0000000,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,20,0,250,2.366,2.366,0.375,0.375,3.4057,3.4057,25.000,25.000,47.500,47.500,0.0100,0.0045267,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,20,200,250,1.979,1.982,0.447,0.441,3.2602,3.2725,21.000,22.184,50.500,49.266,0.0100,0.0000000,2.7666 M,4.6104 M, 56623104.0000 M, 42467328.0000 M
0,21,0,250,2.342,2.342,0.357,0.357,3.1683,3.1683,24.500,24.500,52.500,52.500,0.0100,0.0049242,2.4590 M,4.6104 M, 56623104.0000 M, 33030144.0000 M
0,21,200,250,1.971,1.981,0.467,0.441,2.9876,3.2542,33.000,22.254,59.500,49.749,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,22,0,250,2.467,2.467,0.476,0.476,3.1691,3.1691,20.500,20.500,48.500,48.500,0.0100,0.0050694,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,22,200,250,1.979,1.980,0.383,0.441,2.7930,3.2358,33.000,22.644,61.000,50.512,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,23,0,250,2.463,2.463,0.474,0.474,2.8982,2.8982,33.000,33.000,61.000,61.000,0.0100,0.0052741,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,23,200,250,1.996,1.980,0.462,0.454,2.9133,3.0555,25.500,25.923,59.000,54.552,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,24,0,250,2.439,2.439,0.442,0.442,3.0029,3.0029,26.000,26.000,55.000,55.000,0.0100,0.0053308,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,24,200,250,1.984,1.979,0.407,0.447,2.9829,3.0946,28.000,25.047,56.000,53.828,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,25,0,250,2.357,2.357,0.370,0.370,2.9239,2.9239,32.000,32.000,60.000,60.000,0.0100,0.0052968,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,25,200,250,1.977,1.978,0.458,0.447,3.1072,3.1169,18.000,24.858,57.000,53.182,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,26,0,250,2.360,2.360,0.369,0.369,3.0210,3.0210,20.500,20.500,58.000,58.000,0.0100,0.0052580,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,26,200,250,1.976,1.978,0.547,0.438,3.1908,3.1474,22.500,23.868,51.000,52.400,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,27,0,250,2.346,2.346,0.357,0.357,2.9708,2.9708,25.500,25.500,58.500,58.500,0.0100,0.0052151,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,27,200,250,1.967,1.978,0.639,0.448,3.0040,3.1736,26.500,23.590,55.500,51.913,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,28,0,250,6.380,6.380,4.407,4.407,3.0007,3.0007,28.000,28.000,56.500,56.500,0.0100,0.0051686,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,28,200,250,4.842,5.980,4.177,5.307,3.0916,3.1617,29.500,23.654,53.500,52.127,0.0100,0.0000000,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,29,0,250,6.770,6.770,4.799,4.799,3.1058,3.1058,29.000,29.000,53.000,53.000,0.0100,0.0051193,2.3052 M,4.6104 M, 56623104.0000 M, 28311552.0000 M
0,29,200,250,6.273,6.122,5.618,5.450,3.0288,3.1248,24.500,24.537,54.000,53.142,0.0100,0.0000000,1.9211 M,4.6104 M, 56623104.0000 M, 25362432.0000 M
0,30,0,250,8.117,8.117,6.144,6.144,2.6925,2.6925,34.500,34.500,66.500,66.500,0.0100,0.0053406,1.4601 M,4.6104 M, 56623104.0000 M, 21823488.0000 M
0,30,200,250,5.347,6.152,4.687,5.479,2.9651,2.9636,26.000,27.475,58.000,56.833,0.0100,0.0000000,1.4601 M,4.6104 M, 56623104.0000 M, 21823488.0000 M
0,31,0,250,5.953,5.953,3.972,3.972,2.8720,2.8720,31.000,31.000,60.000,60.000,0.0100,0.0053095,1.4601 M,4.6104 M, 56623104.0000 M, 21823488.0000 M
0,31,200,250,7.100,6.248,6.438,5.575,3.0074,2.9559,29.000,27.410,54.500,57.037,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,32,0,250,7.875,7.875,5.916,5.916,3.0270,3.0270,27.500,27.500,56.500,56.500,0.0100,0.0052828,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,32,200,250,6.929,5.985,6.259,5.314,2.8419,2.9673,28.500,27.428,56.500,56.751,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,33,0,250,7.543,7.543,5.577,5.577,2.9901,2.9901,23.500,23.500,60.000,60.000,0.0100,0.0055988,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,33,200,250,5.855,6.029,5.196,5.359,2.9551,2.9973,23.500,26.575,58.000,55.764,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,34,0,250,7.286,7.286,5.318,5.318,2.8309,2.8309,27.500,27.500,58.000,58.000,0.0100,0.0056046,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,34,200,250,6.626,5.974,5.971,5.304,2.9880,3.0062,27.000,26.667,54.000,55.674,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,35,0,250,8.022,8.022,6.057,6.057,2.9545,2.9545,29.500,29.500,56.000,56.000,0.0100,0.0056707,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,35,200,250,6.687,6.102,6.031,5.431,2.9349,2.9952,29.500,26.803,57.500,56.144,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,36,0,250,8.716,8.716,6.730,6.730,3.1383,3.1383,23.500,23.500,54.000,54.000,0.0100,0.0056342,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,36,200,250,6.079,6.090,5.424,5.419,3.0295,3.0151,29.500,26.684,58.500,55.580,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,37,0,250,7.653,7.653,5.689,5.689,3.1994,3.1994,20.500,20.500,48.500,48.500,0.0100,0.0055950,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,37,200,250,6.333,6.097,5.679,5.426,3.1459,2.9944,24.500,27.017,52.500,55.995,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,38,0,250,6.318,6.318,4.352,4.352,2.8517,2.8517,27.500,27.500,61.000,61.000,0.0100,0.0055534,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,38,200,250,6.531,6.043,5.878,5.372,2.8199,3.0041,30.500,26.771,60.000,55.689,0.0100,0.0000000,1.3833 M,4.6104 M, 56623104.0000 M, 21233664.0000 M
0,39,0,250,7.903,7.903,5.934,5.934,2.6263,2.6263,35.000,35.000,64.500,64.500,0.0100,0.0055607,1.3065 M,4.6104 M, 56623104.0000 M, 20643840.0000 M
0,39,200,250,6.890,6.045,6.228,5.374,2.5085,2.8739,35.000,28.866,67.500,58.826,0.0100,0.0000000,1.1528 M,4.6104 M, 56623104.0000 M, 19464192.0000 M
0,40,0,250,8.294,8.294,6.338,6.338,2.6090,2.6090,35.500,35.500,64.500,64.500,0.0100,0.0056898,0.9992 M,4.6104 M, 56623104.0000 M, 18284544.0000 M
0,40,200,250,5.992,6.103,5.341,5.432,2.6465,2.7447,35.000,31.502,63.000,61.639,0.0100,0.0000000,0.9992 M,4.6104 M, 56623104.0000 M, 18284544.0000 M
0,41,0,250,7.969,7.969,6.014,6.014,2.5778,2.5778,34.000,34.000,65.500,65.500,0.0100,0.0057089,0.9415 M,4.6104 M, 56623104.0000 M, 17399808.0000 M
