Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,249,250,0.582,0.607,2.6744,2.5033,44.500,47.100,72.500,72.918
0,1,249,250,0.599,0.608,2.6605,2.7850,43.000,41.406,72.500,67.822
0,2,249,250,0.602,0.608,2.6747,2.6621,40.000,42.728,67.500,69.966
0,3,249,250,0.620,0.604,2.6727,2.7516,40.000,40.906,71.500,67.648
0,4,249,250,0.640,0.607,3.1512,2.9710,31.500,38.394,59.000,65.298
0,5,249,250,0.588,0.605,2.9778,2.9622,36.000,37.140,65.000,64.788
0,6,249,250,0.607,0.605,3.4800,3.4915,29.500,29.378,59.000,56.600
0,7,249,250,0.597,0.603,3.7628,3.4982,25.500,27.230,50.000,54.248
0,8,249,250,0.627,0.613,3.5351,3.5177,28.000,26.538,50.500,53.208
1,9,249,250,0.644,0.609,2.7944,2.8623,36.000,36.224,62.500,64.450
1,10,249,250,0.614,0.607,2.4347,2.2944,48.000,46.584,69.500,73.876
1,11,249,250,0.593,0.608,2.1883,2.1629,45.500,48.962,80.000,75.868
1,12,249,250,0.584,0.606,2.1751,2.0234,52.000,51.800,79.000,78.050
1,13,249,250,0.632,0.612,2.2128,1.9765,48.500,52.950,72.500,78.716
1,14,249,250,0.605,0.616,1.7989,1.8900,56.500,54.656,82.500,79.966
1,15,249,250,0.642,0.615,1.8218,1.8599,55.000,55.202,81.500,80.372
1,16,249,250,0.630,0.611,1.8724,1.8341,55.500,55.806,78.500,80.654
1,17,249,250,0.597,0.615,1.7244,1.8101,58.500,56.404,84.000,81.104
1,18,249,250,0.626,0.606,1.7763,1.7713,56.000,57.144,80.500,81.508
1,19,249,250,0.634,0.616,1.6786,1.7557,57.500,57.528,82.000,81.876
1,20,249,250,0.664,0.619,1.8463,1.7391,51.000,57.772,79.500,82.094
1,21,249,250,0.659,0.611,1.5755,1.7298,61.500,57.906,85.000,82.336
1,22,249,250,0.605,0.614,1.6928,1.7085,58.500,58.492,83.000,82.736
1,23,249,250,0.610,0.606,1.6994,1.6965,58.000,58.698,85.000,82.790
1,24,249,250,0.609,0.613,1.5960,1.6869,56.000,59.090,82.500,82.914
1,25,249,250,0.618,0.606,1.5837,1.6611,58.500,59.878,85.000,83.218
1,26,249,250,0.609,0.615,1.9482,1.6590,51.000,59.596,82.500,83.254
1,27,249,250,0.635,0.612,1.4545,1.6422,63.500,60.138,84.500,83.612
1,28,249,250,0.622,0.618,1.4317,1.6209,63.000,60.182,89.500,83.930
1,29,249,250,0.609,0.613,1.6353,1.6202,61.000,60.480,83.000,83.988
1,30,249,250,0.599,0.613,1.3492,1.6145,65.000,60.476,89.500,84.008
1,31,249,250,0.597,0.612,1.7282,1.6131,55.500,60.686,86.000,83.872
1,32,249,250,0.585,0.607,1.4942,1.5873,66.500,61.022,85.000,84.330
1,33,249,250,0.610,0.612,1.4495,1.5816,61.000,61.464,84.500,84.418
1,34,249,250,0.629,0.609,1.4388,1.5956,62.500,61.150,89.000,84.284
1,35,249,250,0.623,0.633,1.7463,1.5763,61.000,61.568,80.000,84.470
1,36,249,250,0.641,0.631,1.2504,1.5649,68.000,61.866,88.500,84.728
1,37,249,250,0.625,0.625,1.3242,1.5601,65.000,61.956,88.500,84.818
1,38,249,250,0.604,0.619,1.6761,1.5610,65.500,61.740,82.000,84.830
1,39,249,250,0.624,0.628,1.4989,1.5723,61.000,61.682,85.000,84.636
1,40,249,250,0.623,0.631,1.6307,1.5529,56.500,62.258,87.000,84.860
1,41,249,250,0.603,0.610,1.7605,1.5550,60.500,62.102,85.000,84.840
1,42,249,250,0.618,0.612,1.8971,1.5484,60.000,62.186,80.000,84.972
1,43,249,250,0.583,0.616,1.4152,1.5350,62.000,62.462,88.000,85.158
