Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,417,5.199,5.199,3.434,3.434,4.7318,4.7318,0.833,0.833,3.333,3.333,0.0100,0.0000000,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,200,417,4.478,3.598,4.048,3.430,3.8460,4.2174,11.667,10.224,40.000,28.644,0.0100,0.0009523,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,400,417,2.881,3.614,2.438,3.450,2.7955,3.7420,40.833,19.318,75.000,43.951,0.0100,0.0021335,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,0,417,3.563,3.563,3.118,3.118,2.6337,2.6337,40.833,40.833,73.333,73.333,0.0100,0.0021331,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,200,417,5.408,3.530,4.973,3.368,2.1949,2.4895,40.833,41.895,79.167,73.586,0.0100,0.0021253,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,400,417,4.541,3.517,4.099,3.356,2.0959,2.3096,48.333,45.052,75.000,75.865,0.0100,0.0021136,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,0,417,3.851,3.851,3.418,3.418,1.9220,1.9220,50.000,50.000,84.167,84.167,0.0100,0.0021125,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,200,417,1.789,3.707,1.357,3.545,1.8246,1.8702,49.167,52.869,81.667,81.584,0.0100,0.0021500,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,400,417,4.375,3.675,3.942,3.514,1.7769,1.8043,60.833,54.171,85.833,82.328,0.0100,0.0023139,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,0,417,3.726,3.726,3.266,3.266,1.5500,1.5500,64.167,64.167,87.500,87.500,0.0100,0.0023444,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,200,417,4.262,3.591,3.833,3.429,1.5689,1.6147,58.333,58.143,84.167,84.635,0.0100,0.0023887,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,400,417,4.458,3.606,4.031,3.445,1.4175,1.5814,67.500,58.724,89.167,84.923,0.0100,0.0026017,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,0,417,3.856,3.856,3.409,3.409,1.7055,1.7055,53.333,53.333,82.500,82.500,0.0100,0.0026003,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,200,417,3.053,3.650,2.622,3.489,1.2908,1.4771,65.833,61.211,87.500,85.896,0.0100,0.0025821,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,400,417,4.368,3.571,3.924,3.410,1.4935,1.4661,60.000,61.324,81.667,86.091,0.0100,0.0026345,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
5,0,417,4.158,4.158,3.723,3.723,1.3746,1.3746,60.000,60.000,90.000,90.000,0.0100,0.0027274,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
