Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,417,6.231,6.231,4.468,4.468,4.6655,4.6655,0.000,0.000,3.333,3.333,0.0100,0.0000000,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,200,417,2.575,3.541,2.141,3.374,3.6945,4.2251,19.167,10.249,51.667,28.279,0.0100,0.0004757,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
0,400,417,4.381,3.568,3.923,3.405,2.7130,3.7305,39.167,19.840,68.333,44.208,0.0100,0.0009406,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,0,417,3.671,3.671,3.212,3.212,2.7602,2.7602,38.333,38.333,74.167,74.167,0.0100,0.0014831,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,200,417,4.533,3.566,4.101,3.405,2.2639,2.4250,43.333,43.130,73.333,74.146,0.0100,0.0021023,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
1,400,417,5.667,3.616,5.232,3.457,2.0089,2.2508,50.833,45.840,78.333,76.345,0.0100,0.0021049,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,0,417,4.314,4.314,3.874,3.874,1.6641,1.6641,54.167,54.167,86.667,86.667,0.0100,0.0021042,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,200,417,4.362,3.576,3.929,3.415,1.9897,1.8364,47.500,53.358,77.500,81.816,0.0100,0.0020949,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
2,400,417,3.550,3.663,3.106,3.503,1.5772,1.7697,58.333,54.800,85.833,82.448,0.0100,0.0021899,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,0,417,4.687,4.687,4.255,4.255,1.5227,1.5227,59.167,59.167,87.500,87.500,0.0100,0.0022783,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,200,417,3.428,3.538,2.998,3.378,1.4425,1.5723,63.333,58.947,90.000,84.959,0.0100,0.0022763,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
3,400,417,4.705,3.655,4.249,3.496,1.1640,1.5499,66.667,59.333,90.000,85.158,0.0100,0.0022998,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,0,417,4.444,4.444,4.011,4.011,1.6200,1.6200,57.500,57.500,83.333,83.333,0.0100,0.0023509,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,200,417,4.443,3.600,4.008,3.439,1.3102,1.4366,64.167,61.700,84.167,86.439,0.0100,0.0023456,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
4,400,417,2.530,3.582,2.094,3.422,1.2282,1.4214,68.333,62.080,90.000,86.652,0.0100,0.0024177,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
5,0,417,2.446,2.446,2.010,2.010,1.1528,1.1528,68.333,68.333,88.333,88.333,0.0100,0.0024794,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
5,200,417,4.366,3.724,3.937,3.564,1.6792,1.3422,55.833,64.362,81.667,87.558,0.0100,0.0024735,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
5,400,417,2.956,3.648,2.524,3.488,1.1200,1.3429,71.667,64.106,88.333,87.502,0.0100,0.0025579,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
6,0,417,2.712,2.712,2.265,2.265,1.1366,1.1366,72.500,72.500,90.000,90.000,0.0100,0.0025774,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
6,200,417,4.545,3.564,4.103,3.403,1.2827,1.2822,65.000,65.609,90.000,88.213,0.0100,0.0025609,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
6,400,417,2.760,3.558,2.331,3.399,1.2473,1.2810,68.333,65.634,88.333,88.165,0.0100,0.0026169,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
7,0,417,4.654,4.654,4.210,4.210,0.9805,0.9805,75.833,75.833,95.000,95.000,0.0100,0.0026242,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
7,200,417,3.566,3.527,3.127,3.367,1.2631,1.2222,66.667,67.152,88.333,88.885,0.0100,0.0026056,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
7,400,417,3.742,3.580,3.309,3.421,1.1504,1.2237,69.167,66.937,91.667,88.776,0.0100,0.0027022,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
8,0,417,1.687,1.687,1.251,1.251,1.0361,1.0361,72.500,72.500,91.667,91.667,0.0100,0.0027217,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
8,200,417,4.334,3.640,3.904,3.481,1.2969,1.1866,64.167,67.993,89.167,89.179,0.0100,0.0027034,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
8,400,417,4.669,3.566,4.235,3.407,1.2237,1.1970,67.500,67.652,85.833,89.063,0.0100,0.0027873,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
9,0,417,3.843,3.843,3.407,3.407,1.2122,1.2122,65.000,65.000,88.333,88.333,0.0100,0.0027909,4087.3412 M,4087.3412 M, 25529472.0000 M, 23686272.0000 M
9,200,417,2.424,3.552,1.977,3.391,1.1257,1.1575,67.500,68.611,90.000,89.639,0.0100,0.0027705,3624.9191 M,4087.3412 M, 25529472.0000 M, 18671360.0000 M
9,400,417,4.173,3.572,3.731,3.412,1.1251,1.1643,70.000,68.448,90.000,89.557,0.0100,0.0028428,3335.9054 M,4087.3412 M, 25529472.0000 M, 18081152.0000 M
10,0,417,4.348,4.348,3.914,3.914,1.0920,1.0920,70.833,70.833,92.500,92.500,0.0100,0.0028800,3335.9054 M,4087.3412 M, 25529472.0000 M, 18081152.0000 M
10,200,417,4.676,3.604,4.243,3.443,0.9350,1.1153,76.667,69.581,92.500,89.768,0.0100,0.0028744,3226.7224 M,4087.3412 M, 25529472.0000 M, 17013088.0000 M
10,400,417,1.805,3.625,1.368,3.465,1.4379,1.1341,59.167,69.140,85.833,89.638,0.0100,0.0029343,3123.9620 M,4087.3412 M, 25529472.0000 M, 16488032.0000 M
11,0,417,3.179,3.179,2.742,2.742,0.8994,0.8994,70.833,70.833,94.167,94.167,0.0100,0.0030136,3123.9620 M,4087.3412 M, 25529472.0000 M, 16488032.0000 M
11,200,417,3.943,3.597,3.510,3.436,1.0373,1.0756,72.500,70.688,93.333,90.460,0.0100,0.0029970,3123.9620 M,4087.3412 M, 25529472.0000 M, 16488032.0000 M
11,400,417,4.344,3.635,3.899,3.475,1.1162,1.0987,68.333,70.135,90.000,90.177,0.0100,0.0030077,2963.3988 M,4087.3412 M, 25529472.0000 M, 16338112.0000 M
12,0,417,4.212,4.212,3.778,3.778,1.2309,1.2309,64.167,64.167,91.667,91.667,0.0100,0.0031063,2963.3988 M,4087.3412 M, 25529472.0000 M, 16338112.0000 M
