iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
83,84,1.465,3.491,2.0548,2.2659,55.000,48.000,90.000,80.660
83,84,0.797,3.238,1.5145,1.4067,65.000,63.010,90.000,91.080
83,84,1.084,3.388,0.8088,1.0888,85.000,70.610,97.500,93.800
83,84,1.304,3.068,1.0826,0.9760,67.500,72.130,92.500,94.460
83,84,1.512,3.504,0.8640,0.8484,75.000,75.440,95.000,95.560
83,84,1.547,3.418,1.1069,0.8357,62.500,75.580,90.000,95.550
83,84,0.723,3.137,0.8960,0.8242,75.000,76.230,95.000,95.590
83,84,1.268,3.173,0.8622,0.7278,80.000,78.600,95.000,96.350
83,84,1.591,3.434,0.9134,0.8185,77.500,75.430,92.500,95.400
83,84,0.883,3.402,0.6878,0.7311,82.500,77.960,97.500,96.350
83,84,1.263,3.320,1.1917,0.7430,67.500,77.690,85.000,96.360
83,84,1.499,3.231,1.0213,0.7811,70.000,77.240,97.500,95.500
83,84,1.282,3.425,0.9237,0.7714,67.500,77.280,95.000,96.050
83,84,1.561,3.243,0.7933,0.8366,80.000,75.190,100.000,95.080
83,84,0.180,3.213,0.3814,0.8568,85.000,74.660,100.000,95.090
83,84,1.279,3.558,0.9662,0.8486,75.000,75.500,92.500,95.040
83,84,1.259,3.219,0.7296,0.8524,75.000,74.970,92.500,94.920
83,84,0.533,3.510,1.1496,0.9900,60.000,71.640,97.500,92.900
83,84,1.307,3.449,0.8666,0.8817,75.000,74.260,95.000,94.930
83,84,0.614,3.320,1.2234,0.9216,65.000,73.230,87.500,94.240
83,84,0.511,3.378,0.7685,0.9004,85.000,74.020,95.000,94.430
83,84,1.299,3.331,1.0094,0.9472,70.000,73.160,95.000,93.540
83,84,1.055,3.253,0.7160,1.0090,80.000,71.610,95.000,93.070
83,84,0.627,3.201,0.9139,1.0533,75.000,69.930,95.000,92.340
83,84,1.457,3.379,0.9899,1.0419,75.000,70.830,87.500,93.190
83,84,1.425,3.504,1.1208,1.0798,70.000,69.340,95.000,92.600
83,84,0.924,3.478,0.8728,0.9886,72.500,71.900,97.500,93.850
83,84,1.103,3.502,1.1223,1.1878,72.500,67.340,90.000,90.930
83,84,1.054,3.378,0.8312,0.9887,77.500,71.680,95.000,93.100
83,84,0.856,3.354,0.8685,0.9878,77.500,71.510,95.000,93.960
83,84,0.634,3.373,0.7799,1.2806,77.500,65.190,95.000,89.960
83,84,1.324,3.325,0.9812,1.0502,77.500,70.510,95.000,92.580
83,84,0.575,3.389,1.3475,1.0482,55.000,70.400,90.000,92.590
