iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
83,84,1.327,3.492,2.1063,2.2174,50.000,50.150,90.000,82.420
83,84,0.330,3.391,1.0379,1.3555,67.500,65.400,92.500,91.660
83,84,1.123,3.362,1.1247,1.0428,60.000,71.090,97.500,93.930
83,84,1.243,3.538,0.6973,0.9294,82.500,73.110,97.500,95.180
83,84,1.202,3.284,0.7791,0.8340,77.500,75.830,97.500,95.740
83,84,0.943,3.284,0.8723,0.7910,72.500,76.650,97.500,96.180
83,84,1.044,3.072,0.9150,0.7411,70.000,78.130,95.000,96.260
83,84,1.591,3.339,0.6077,0.7290,75.000,77.770,97.500,96.220
83,84,1.143,3.256,0.6784,0.7137,77.500,78.460,95.000,96.430
83,84,1.409,3.571,0.8410,0.7120,67.500,78.790,100.000,96.350
83,84,1.544,3.322,0.8518,0.6754,75.000,79.640,92.500,96.540
83,84,1.487,3.296,0.7183,0.7265,77.500,78.240,97.500,96.130
83,84,0.853,3.432,0.4646,0.7328,82.500,78.410,100.000,95.980
83,84,1.217,3.611,0.8715,0.6924,75.000,79.480,90.000,96.440
83,84,1.292,3.534,0.7416,0.7206,80.000,78.490,95.000,95.940
83,84,0.831,3.260,1.1084,0.7243,72.500,78.320,90.000,96.410
83,84,1.427,3.003,0.6721,0.7495,75.000,77.720,97.500,95.910
83,84,0.986,3.398,1.0495,0.7674,65.000,77.850,92.500,95.710
83,84,1.021,3.365,0.6265,0.7551,75.000,78.180,97.500,95.690
83,84,1.368,3.473,0.7734,0.8104,80.000,76.100,92.500,95.320
83,84,0.786,3.204,1.0575,0.8027,75.000,76.360,92.500,95.600
83,84,0.174,3.369,0.9876,0.8151,70.000,76.870,97.500,95.290
83,84,0.922,3.249,0.9868,0.8045,72.500,77.040,92.500,95.460
