Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,3203,3.007,3.007,0.948,0.948,7.0147,7.0147,0.000,0.000,0.250,0.250,0.0100,0.0505242,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,200,3203,1.426,1.411,0.990,0.966,6.8986,6.9153,0.250,0.180,0.750,0.815,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,400,3203,1.737,1.430,1.295,0.990,6.6046,6.8583,1.000,0.355,5.500,1.435,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,600,3203,1.517,1.473,1.077,1.034,5.9645,6.6892,5.750,1.177,18.500,3.832,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,800,3203,1.534,1.487,1.111,1.049,5.3638,6.4287,15.000,3.838,34.500,9.447,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,1000,3203,1.768,1.511,1.337,1.074,4.6691,6.1521,29.250,7.448,51.000,16.074,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,1200,3203,2.503,1.524,1.319,1.086,4.2755,5.8813,36.500,11.162,60.750,22.244,0.0100,0.0031869,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,1400,3203,1.438,1.528,1.004,1.091,3.8543,5.6189,35.250,14.691,63.500,27.748,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,1600,3203,1.615,1.528,1.180,1.091,3.4469,5.3799,45.250,17.814,69.000,32.345,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,1800,3203,1.480,1.535,1.046,1.098,3.3341,5.1629,44.500,20.580,67.250,36.201,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,2000,3203,1.689,1.535,1.251,1.098,3.0127,4.9686,51.500,23.009,71.750,39.460,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,2200,3203,1.714,1.536,1.280,1.100,3.1619,4.7953,42.250,25.099,66.000,42.198,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,2400,3203,2.369,1.536,1.183,1.099,2.9003,4.6434,48.500,26.868,72.250,44.501,0.0100,0.0056090,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,2600,3203,1.584,1.535,1.141,1.099,2.7723,4.5020,48.500,28.505,73.250,46.570,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,2800,3203,1.477,1.536,1.036,1.100,2.7456,4.3787,48.000,29.903,71.500,48.340,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,3000,3203,1.364,1.536,0.935,1.099,2.7386,4.2750,47.750,31.037,73.000,49.771,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,0,3200,3203,1.428,1.534,0.995,1.097,2.5465,4.1867,49.250,31.971,74.250,50.972,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,1,0,3203,2.383,2.383,1.204,1.204,2.9650,2.9650,44.000,44.000,64.750,64.750,0.0100,0.0079657,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,1,200,3203,1.685,1.493,1.252,1.055,2.8150,2.9065,46.500,45.006,70.000,67.748,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,1,400,3203,1.617,1.520,1.180,1.084,3.0039,2.9190,42.750,44.537,64.000,67.456,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,1,600,3203,1.593,1.522,1.155,1.086,2.9571,2.9347,43.000,44.087,67.750,67.089,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,1,800,3203,1.653,1.534,1.213,1.099,3.0037,2.9566,43.000,43.681,65.750,66.593,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,1,1000,3203,1.634,1.534,1.196,1.099,3.0078,2.9773,39.250,43.223,63.750,66.154,0.0100,0.0000000,23.0640 M,23.0640 M, 14155776.0000 M, 14155776.0000 M
0,1,1200,3203,2.136,1.536,0.920,1.100,3.4936,2.9994,31.750,42.742,55.500,65.708,0.0100,0.0076079,13.8420 M,23.0640 M, 14155776.0000 M, 10616832.0000 M
0,1,1400,3203,1.407,1.536,0.970,1.100,2.7669,2.9637,42.750,43.129,68.000,66.122,0.0100,0.0000000,13.8420 M,23.0640 M, 14155776.0000 M, 10616832.0000 M
0,1,1600,3203,1.755,1.536,1.314,1.101,2.9263,2.9492,41.000,43.207,65.500,66.234,0.0100,0.0000000,13.8420 M,23.0640 M, 14155776.0000 M, 10616832.0000 M
0,1,1800,3203,1.296,1.535,0.865,1.100,3.0690,2.9500,44.000,43.078,63.000,66.136,0.0100,0.0000000,13.8420 M,23.0640 M, 14155776.0000 M, 10616832.0000 M
0,1,2000,3203,1.536,1.535,1.103,1.099,2.8137,2.9584,44.250,42.852,66.250,65.893,0.0100,0.0000000,13.8420 M,23.0640 M, 14155776.0000 M, 10616832.0000 M
0,1,2200,3203,1.552,1.534,1.112,1.098,3.1290,2.9748,42.500,42.512,63.500,65.567,0.0100,0.0000000,13.8420 M,23.0640 M, 14155776.0000 M, 10616832.0000 M
0,1,2400,3203,2.378,1.534,1.151,1.098,3.0956,2.9960,37.750,42.107,63.000,65.152,0.0100,0.0081375,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,1,2600,3203,1.770,1.536,1.337,1.100,3.0567,2.9954,37.250,41.977,61.250,65.055,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,1,2800,3203,1.544,1.538,1.114,1.103,3.3886,3.0104,34.750,41.641,57.750,64.729,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,1,3000,3203,1.517,1.540,1.082,1.105,3.6151,3.0339,29.250,41.196,55.250,64.280,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,1,3200,3203,1.643,1.539,1.211,1.104,3.6738,3.0615,33.500,40.699,54.000,63.783,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,2,0,3203,2.108,2.108,0.942,0.942,3.6937,3.6937,30.000,30.000,52.250,52.250,0.0100,0.0097208,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,2,200,3203,1.326,1.535,0.894,1.099,3.5207,3.5355,30.000,32.429,56.000,55.144,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,2,400,3203,1.421,1.541,0.982,1.106,3.4566,3.5838,31.000,31.675,56.000,54.401,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,2,600,3203,1.585,1.537,1.157,1.102,3.9735,3.6295,25.250,30.958,49.250,53.537,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,2,800,3203,1.388,1.540,0.958,1.106,3.3398,3.6659,32.500,30.414,57.500,52.900,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,2,1000,3203,1.841,1.545,1.412,1.110,3.5407,3.6980,26.750,29.915,54.500,52.326,0.0100,0.0000000,11.5320 M,23.0640 M, 14155776.0000 M, 7077888.0000 M
0,2,1200,3203,2.202,1.543,0.989,1.108,3.7970,3.7229,26.250,29.520,50.750,51.858,0.0100,0.0093667,6.9210 M,23.0640 M, 14155776.0000 M, 5308416.0000 M
0,2,1400,3203,1.411,1.546,0.977,1.112,3.5913,3.6883,29.250,29.852,52.000,52.315,0.0100,0.0000000,6.9210 M,23.0640 M, 14155776.0000 M, 5308416.0000 M
0,2,1600,3203,1.371,1.545,0.939,1.110,3.2518,3.6703,32.750,30.011,58.000,52.542,0.0100,0.0000000,6.9210 M,23.0640 M, 14155776.0000 M, 5308416.0000 M
0,2,1800,3203,1.636,1.543,1.200,1.109,3.7016,3.6624,27.000,30.051,51.750,52.613,0.0100,0.0000000,6.9210 M,23.0640 M, 14155776.0000 M, 5308416.0000 M
0,2,2000,3203,1.520,1.543,1.091,1.109,3.6470,3.6636,28.250,29.960,56.000,52.544,0.0100,0.0000000,6.9210 M,23.0640 M, 14155776.0000 M, 5308416.0000 M
0,2,2200,3203,1.350,1.544,0.922,1.109,3.4896,3.6692,31.500,29.816,55.250,52.390,0.0100,0.0000000,6.9210 M,23.0640 M, 14155776.0000 M, 5308416.0000 M
0,2,2400,3203,2.456,1.543,1.279,1.108,3.5747,3.6782,31.000,29.642,53.750,52.191,0.0100,0.0096923,6.9210 M,23.0640 M, 14155776.0000 M, 5308416.0000 M
