Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,124,125,1.184,1.322,2.5008,2.6127,53.250,49.256,76.750,73.070
0,1,124,125,1.394,1.286,3.3370,3.2254,34.500,36.434,59.500,60.408
0,2,124,125,1.153,1.313,3.6613,3.5905,29.750,28.610,52.000,53.040
0,3,124,125,1.131,1.267,3.5906,3.3414,27.250,31.784,54.500,56.564
0,4,124,125,1.472,1.317,3.3403,3.2000,35.000,33.694,55.500,58.540
0,5,124,125,1.150,1.171,3.2700,3.1028,33.750,34.996,58.000,60.058
0,6,124,125,1.370,1.327,2.6562,2.8226,42.250,39.306,68.000,64.462
0,7,124,125,1.190,1.326,2.6879,2.8112,42.750,39.666,66.750,64.776
0,8,124,125,1.164,1.307,2.6626,2.7528,38.750,40.520,66.000,65.694
0,9,124,125,1.411,1.299,2.7860,2.6973,34.500,41.686,64.500,66.674
0,10,124,125,1.385,1.333,2.4976,2.6969,45.250,41.610,67.750,66.472
0,11,124,125,1.409,1.319,2.6055,2.5532,44.500,43.890,68.750,68.950
0,12,124,125,1.145,1.186,2.6150,2.6015,41.750,43.204,65.250,68.200
0,13,124,125,1.128,1.190,2.4844,2.5279,44.500,44.290,68.250,69.416
0,14,124,125,1.141,1.213,2.5270,2.5203,45.500,44.570,67.000,69.410
0,15,124,125,1.132,1.173,2.7421,2.5492,39.750,44.252,65.000,68.890
0,16,124,125,1.195,1.199,2.5801,2.5389,43.750,44.344,69.250,69.216
0,17,124,125,1.169,1.276,2.8650,2.4873,39.750,45.306,65.250,70.090
0,18,124,125,1.137,1.227,2.4681,2.5112,47.250,44.946,69.500,69.420
