Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,625,3.840,3.840,0.137,0.137,2.4732,2.4732,7.812,7.812,48.438,48.438,0.0100,0.0000000,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,0,200,625,0.345,0.220,0.110,0.114,1.0044,1.4426,65.625,50.326,93.750,89.778,0.0100,0.0022662,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,0,400,625,0.351,0.211,0.110,0.114,0.7039,1.1861,79.688,59.207,96.875,93.127,0.0100,0.0044297,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,0,600,625,0.362,0.208,0.110,0.114,0.5241,1.0590,81.250,63.576,98.438,94.465,0.0100,0.0044135,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,1,0,625,0.401,0.401,0.144,0.144,0.7042,0.7042,76.562,76.562,96.875,96.875,0.0100,0.0044116,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,1,200,625,0.362,0.207,0.126,0.116,0.6294,0.7014,81.250,76.057,98.438,97.645,0.0100,0.0043952,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,1,400,625,0.345,0.207,0.094,0.117,0.7912,0.6886,73.438,76.165,93.750,97.670,0.0100,0.0043771,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,1,600,625,0.345,0.207,0.110,0.118,0.7641,0.6833,75.000,76.235,95.312,97.689,0.0100,0.0043581,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,2,0,625,0.381,0.381,0.157,0.157,0.8527,0.8527,71.875,71.875,100.000,100.000,0.0100,0.0043555,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,2,200,625,0.376,0.210,0.125,0.121,0.3626,0.6104,87.500,78.856,100.000,98.212,0.0100,0.0043347,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,2,400,625,0.361,0.208,0.125,0.119,0.4643,0.6030,87.500,79.271,100.000,98.106,0.0100,0.0043128,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,2,600,625,0.356,0.207,0.121,0.118,0.6174,0.6026,79.688,79.199,92.188,98.016,0.0100,0.0044107,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,3,0,625,0.379,0.379,0.146,0.146,0.8911,0.8911,62.500,62.500,93.750,93.750,0.0100,0.0044081,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,3,200,625,0.377,0.209,0.125,0.119,0.5977,0.5647,78.125,80.348,96.875,98.165,0.0100,0.0043856,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,3,400,625,0.361,0.208,0.126,0.118,0.3832,0.5664,85.938,80.440,100.000,98.247,0.0100,0.0043614,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,3,600,625,0.361,0.208,0.126,0.118,0.5012,0.5684,84.375,80.376,100.000,98.245,0.0100,0.0044959,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,4,0,625,0.383,0.383,0.147,0.147,0.3861,0.3861,84.375,84.375,98.438,98.438,0.0100,0.0044930,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,4,200,625,0.388,0.206,0.122,0.116,0.6764,0.5512,76.562,80.449,100.000,98.290,0.0100,0.0044687,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,4,400,625,0.377,0.207,0.125,0.117,0.6145,0.5563,76.562,80.420,98.438,98.274,0.0100,0.0044908,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,4,600,625,0.375,0.208,0.108,0.118,0.5852,0.5494,79.688,80.662,96.875,98.321,0.0100,0.0044639,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,5,0,625,0.394,0.394,0.155,0.155,0.5894,0.5894,81.250,81.250,96.875,96.875,0.0100,0.0048944,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,5,200,625,0.597,0.210,0.345,0.120,0.5916,0.5342,78.125,81.483,98.438,98.476,0.0100,0.0048712,1813.5665 M,1813.5665 M, 11683712.0000 M, 11176832.0000 M
0,5,400,625,0.345,0.216,0.110,0.125,0.4138,0.5391,84.375,81.153,100.000,98.453,0.0100,0.0052696,1697.9610 M,1813.5665 M, 11683712.0000 M, 8817024.0000 M
0,5,600,625,0.361,0.216,0.110,0.126,0.4198,0.5340,85.938,81.406,100.000,98.432,0.0100,0.0053193,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,6,0,625,0.398,0.398,0.155,0.155,0.5729,0.5729,75.000,75.000,98.438,98.438,0.0100,0.0054250,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,6,200,625,0.420,0.217,0.174,0.127,0.3810,0.4904,84.375,82.836,98.438,98.507,0.0100,0.0054053,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,6,400,625,0.377,0.213,0.125,0.123,0.4995,0.4963,78.125,82.590,100.000,98.402,0.0100,0.0053850,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,6,600,625,0.392,0.213,0.141,0.123,0.4763,0.5005,84.375,82.493,96.875,98.378,0.0100,0.0053618,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,7,0,625,0.397,0.397,0.135,0.135,0.4448,0.4448,84.375,84.375,96.875,96.875,0.0100,0.0053588,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,7,200,625,0.361,0.207,0.110,0.117,0.5539,0.5101,81.250,82.393,96.875,98.422,0.0100,0.0053339,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,7,400,625,0.361,0.207,0.110,0.117,0.3559,0.5089,85.938,82.407,100.000,98.426,0.0100,0.0053074,1640.1582 M,1813.5665 M, 11683712.0000 M, 7637120.0000 M
0,7,600,625,0.366,0.208,0.115,0.118,0.5827,0.5128,75.000,82.199,98.438,98.391,0.0100,0.0052789,1466.7500 M,1813.5665 M, 11683712.0000 M, 6752000.0000 M
0,8,0,625,0.384,0.384,0.138,0.138,0.3628,0.3628,84.375,84.375,100.000,100.000,0.0100,0.0053958,1466.7500 M,1813.5665 M, 11683712.0000 M, 6752000.0000 M
0,8,200,625,0.361,0.207,0.125,0.116,0.6644,0.4847,73.438,82.898,98.438,98.601,0.0100,0.0053711,1466.7500 M,1813.5665 M, 11683712.0000 M, 6752000.0000 M
0,8,400,625,0.361,0.208,0.125,0.118,0.2867,0.4870,90.625,82.906,100.000,98.621,0.0100,0.0053455,1466.7500 M,1813.5665 M, 11683712.0000 M, 6752000.0000 M
0,8,600,625,0.368,0.209,0.126,0.119,0.5404,0.4938,78.125,82.703,98.438,98.586,0.0100,0.0053194,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,9,0,625,0.381,0.381,0.145,0.145,0.3372,0.3372,87.500,87.500,100.000,100.000,0.0100,0.0053529,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,9,200,625,0.361,0.208,0.126,0.118,0.5565,0.4599,81.250,83.986,95.312,98.546,0.0100,0.0053276,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,9,400,625,0.372,0.208,0.137,0.118,0.5552,0.4678,82.812,83.678,100.000,98.508,0.0100,0.0053013,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,9,600,625,0.345,0.207,0.110,0.118,0.6822,0.4674,75.000,83.774,100.000,98.539,0.0100,0.0052729,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,10,0,625,0.406,0.406,0.168,0.168,0.6941,0.6941,79.688,79.688,96.875,96.875,0.0100,0.0052693,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,10,200,625,0.392,0.207,0.134,0.117,0.4558,0.4614,84.375,83.769,98.438,98.663,0.0100,0.0052413,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,10,400,625,0.377,0.206,0.125,0.116,0.6424,0.4697,79.688,83.490,100.000,98.601,0.0100,0.0053621,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,10,600,625,0.361,0.207,0.126,0.117,0.3700,0.4708,85.938,83.444,100.000,98.588,0.0100,0.0053341,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,11,0,625,0.361,0.361,0.121,0.121,0.5400,0.5400,79.688,79.688,98.438,98.438,0.0100,0.0053306,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,11,200,625,0.410,0.206,0.173,0.116,0.4579,0.4655,84.375,83.388,98.438,98.577,0.0100,0.0053016,1437.8486 M,1813.5665 M, 11683712.0000 M, 6161920.0000 M
0,11,400,625,0.361,0.207,0.110,0.117,0.5138,0.4695,84.375,83.494,100.000,98.570,0.0100,0.0052920,1205.4334 M,1813.5665 M, 11683712.0000 M, 5935808.0000 M
0,11,600,625,0.345,0.207,0.110,0.118,0.4091,0.4642,85.938,83.624,98.438,98.557,0.0100,0.0057556,1032.0251 M,1813.5665 M, 11683712.0000 M, 5880416.0000 M
0,12,0,625,0.366,0.366,0.120,0.120,0.3196,0.3196,89.062,89.062,100.000,100.000,0.0100,0.0059768,1032.0251 M,1813.5665 M, 11683712.0000 M, 5880416.0000 M
0,12,200,625,0.377,0.206,0.125,0.117,0.6489,0.4222,81.250,85.331,98.438,98.795,0.0100,0.0059693,1032.0251 M,1813.5665 M, 11683712.0000 M, 5880416.0000 M
