Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,156,157,0.362,0.176,0.3309,0.3505,93.750,88.370,100.000,99.710
0,1,156,157,0.079,0.182,0.1394,0.2808,100.000,90.660,100.000,99.720
0,2,156,157,0.079,0.173,0.2501,0.2284,93.750,91.900,100.000,99.830
0,3,156,157,0.110,0.173,0.1241,0.2442,93.750,91.540,100.000,99.830
0,4,156,157,0.079,0.175,0.2945,0.2118,93.750,92.770,100.000,99.870
0,5,156,157,0.087,0.187,0.1508,0.2046,93.750,92.760,100.000,99.880
0,6,156,157,0.063,0.174,0.0131,0.2288,100.000,91.820,100.000,99.880
0,7,156,157,0.063,0.174,0.2987,0.2070,87.500,93.080,100.000,99.830
0,8,156,157,0.063,0.177,0.1201,0.1890,93.750,93.360,100.000,99.870
0,9,156,157,0.063,0.172,0.0198,0.1861,100.000,93.550,100.000,99.940
0,10,156,157,0.066,0.172,0.2218,0.2073,93.750,92.900,100.000,99.840
0,11,156,157,0.079,0.171,0.0277,0.1660,100.000,94.290,100.000,99.940
0,12,156,157,0.079,0.176,0.0577,0.1749,100.000,93.890,100.000,99.920
0,13,156,157,0.079,0.170,0.0459,0.1542,100.000,94.860,100.000,99.900
0,14,156,157,0.079,0.174,0.3359,0.1772,87.500,94.240,100.000,99.930
0,15,156,157,0.052,0.173,0.0056,0.1738,100.000,94.070,100.000,99.940
0,16,156,157,0.079,0.172,0.1490,0.1675,93.750,94.290,100.000,99.930
1,17,156,157,0.089,0.187,0.0069,0.2301,100.000,92.210,100.000,99.850
1,18,156,157,0.072,0.185,0.1108,0.1419,93.750,95.260,100.000,99.960
1,19,156,157,0.079,0.183,0.3027,0.1420,93.750,95.190,100.000,99.920
1,20,156,157,0.088,0.178,0.0137,0.1524,100.000,94.900,100.000,99.940
1,21,156,157,0.082,0.199,0.1179,0.1389,100.000,95.370,100.000,99.980
1,22,156,157,0.063,0.171,0.3693,0.1532,81.250,95.000,100.000,99.910
1,23,156,157,0.082,0.188,0.3455,0.1484,81.250,95.190,100.000,99.910
1,24,156,157,0.068,0.191,0.0328,0.1379,100.000,95.520,100.000,99.930
1,25,156,157,0.058,0.183,0.0111,0.1438,100.000,95.300,100.000,99.910
1,26,156,157,0.078,0.184,0.0019,0.1423,100.000,95.290,100.000,99.940
1,27,156,157,0.070,0.185,0.0024,0.1434,100.000,95.110,100.000,99.930
1,28,156,157,0.074,0.192,0.2933,0.1416,87.500,95.380,100.000,99.930
