Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,417,22.811,22.811,0.342,0.342,4.6046,4.6046,0.833,0.833,6.667,6.667,0.0100,0.0224820,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,0,200,417,1.023,0.711,0.360,0.338,3.7660,4.2062,20.000,10.269,47.500,28.984,0.0100,0.0001460,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,0,400,417,1.023,0.656,0.334,0.333,2.7629,3.7170,35.833,19.805,70.000,44.670,0.0100,0.0002936,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,1,0,417,1.032,1.032,0.371,0.371,2.5946,2.5946,45.833,45.833,71.667,71.667,0.0100,0.0004679,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,1,200,417,1.023,0.600,0.370,0.321,2.2341,2.4075,45.000,43.437,77.500,74.424,0.0100,0.0006681,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,1,400,417,1.020,0.599,0.365,0.320,1.9678,2.2227,52.500,46.631,82.500,76.802,0.0100,0.0008831,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,2,0,417,1.007,1.007,0.351,0.351,1.9665,1.9665,54.167,54.167,75.833,75.833,0.0100,0.0011163,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,2,200,417,1.022,0.600,0.317,0.329,1.7312,1.7955,52.500,54.747,85.833,82.301,0.0100,0.0013696,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,2,400,417,1.021,0.599,0.335,0.328,1.5957,1.7244,60.000,55.975,81.667,83.182,0.0100,0.0016306,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,3,0,417,1.006,1.006,0.350,0.350,1.5645,1.5645,59.167,59.167,87.500,87.500,0.0100,0.0018374,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,3,200,417,1.029,0.600,0.374,0.325,1.6379,1.5317,56.667,59.954,87.500,85.580,0.0100,0.0018870,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,3,400,417,1.022,0.599,0.301,0.327,1.3983,1.5134,65.000,60.434,89.167,85.713,0.0100,0.0019137,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,4,0,417,0.980,0.980,0.326,0.326,1.7485,1.7485,54.167,54.167,79.167,79.167,0.0100,0.0019492,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,4,200,417,1.019,0.601,0.289,0.326,1.3797,1.4167,60.833,62.160,85.000,86.833,0.0100,0.0019485,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,4,400,417,1.019,0.599,0.311,0.324,1.3571,1.4032,64.167,62.602,85.833,86.850,0.0100,0.0020574,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,5,0,417,0.984,0.984,0.326,0.326,1.1792,1.1792,70.833,70.833,87.500,87.500,0.0100,0.0020928,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,5,200,417,1.024,0.599,0.303,0.317,1.2926,1.3137,70.833,64.921,85.833,88.018,0.0100,0.0020908,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,5,400,417,1.023,0.598,0.304,0.316,1.4136,1.3022,62.500,65.118,85.833,88.084,0.0100,0.0021625,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,6,0,417,0.947,0.947,0.294,0.294,1.1832,1.1832,73.333,73.333,90.000,90.000,0.0100,0.0022024,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,6,200,417,1.019,0.599,0.328,0.311,1.2909,1.2488,60.000,66.347,89.167,88.889,0.0100,0.0021911,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,6,400,417,1.020,0.598,0.299,0.312,1.2805,1.2370,65.833,66.714,89.167,88.936,0.0100,0.0022785,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,7,0,417,0.989,0.989,0.336,0.336,1.0837,1.0837,74.167,74.167,87.500,87.500,0.0100,0.0022977,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,7,200,417,1.019,0.599,0.307,0.313,1.0425,1.1929,76.667,67.952,90.833,89.204,0.0100,0.0022853,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,7,400,417,1.021,0.599,0.295,0.314,1.2699,1.1986,60.833,67.830,88.333,89.127,0.0100,0.0023148,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,8,0,417,1.001,1.001,0.348,0.348,1.2090,1.2090,70.000,70.000,87.500,87.500,0.0100,0.0023740,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,8,200,417,1.018,0.599,0.299,0.314,1.1891,1.1516,70.000,68.959,88.333,89.449,0.0100,0.0023664,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,8,400,417,1.018,0.598,0.318,0.314,1.0550,1.1526,72.500,68.845,92.500,89.474,0.0100,0.0024320,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,9,0,417,1.033,1.033,0.381,0.381,1.3041,1.3041,69.167,69.167,88.333,88.333,0.0100,0.0024639,3969.3272 M,3969.3272 M, 25520000.0000 M, 23676800.0000 M
0,9,200,417,1.045,0.600,0.300,0.314,1.1449,1.1281,70.000,69.465,90.000,89.892,0.0100,0.0024498,3564.7079 M,3969.3272 M, 25520000.0000 M, 18956928.0000 M
0,9,400,417,1.042,0.599,0.319,0.312,1.3722,1.1370,65.833,69.314,85.833,89.805,0.0100,0.0025006,3217.8914 M,3969.3272 M, 25520000.0000 M, 18071680.0000 M
0,10,0,417,0.973,0.973,0.318,0.318,1.0062,1.0062,67.500,67.500,93.333,93.333,0.0100,0.0025548,3217.8914 M,3969.3272 M, 25520000.0000 M, 18071680.0000 M
0,10,200,417,1.029,0.599,0.307,0.314,0.9382,1.0868,67.500,70.626,93.333,90.580,0.0100,0.0025569,3108.7085 M,3969.3272 M, 25520000.0000 M, 17003616.0000 M
0,10,400,417,1.029,0.598,0.307,0.312,0.8916,1.0903,74.167,70.493,90.833,90.466,0.0100,0.0025825,3005.9480 M,3969.3272 M, 25520000.0000 M, 16478560.0000 M
0,11,0,417,0.972,0.972,0.318,0.318,1.0794,1.0794,75.833,75.833,88.333,88.333,0.0100,0.0026285,3005.9480 M,3969.3272 M, 25520000.0000 M, 16478560.0000 M
0,11,200,417,1.022,0.599,0.308,0.312,0.8217,1.0512,75.833,71.658,95.833,90.738,0.0100,0.0026320,2954.5678 M,3969.3272 M, 25520000.0000 M, 16412768.0000 M
0,11,400,417,1.027,0.598,0.346,0.313,1.1317,1.0644,70.833,71.195,87.500,90.576,0.0100,0.0026400,2845.3848 M,3969.3272 M, 25520000.0000 M, 16328640.0000 M
0,12,0,417,0.994,0.994,0.340,0.340,1.0156,1.0156,71.667,71.667,91.667,91.667,0.0100,0.0026951,2845.3848 M,3969.3272 M, 25520000.0000 M, 16328640.0000 M
0,12,200,417,1.022,0.600,0.320,0.322,1.0131,1.0430,69.167,71.480,90.833,90.804,0.0100,0.0026860,2787.5821 M,3969.3272 M, 25520000.0000 M, 16310176.0000 M
0,12,400,417,1.018,0.600,0.308,0.326,0.9086,1.0453,76.667,71.515,91.667,90.773,0.0100,0.0027076,2787.5821 M,3969.3272 M, 25520000.0000 M, 16310176.0000 M
