Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,83,84,1.052,0.551,2.2916,2.2074,50.000,49.640,75.000,82.740
0,1,83,84,0.181,0.498,1.0561,1.2965,62.500,66.010,100.000,92.000
0,2,83,84,0.182,0.505,1.1553,1.0091,62.500,72.000,95.000,94.440
0,3,83,84,0.177,0.510,1.1728,0.8620,67.500,75.270,90.000,95.460
0,4,83,84,0.175,0.498,0.8661,0.8027,70.000,76.060,97.500,95.930
0,5,83,84,0.176,0.499,0.8639,0.7661,70.000,77.270,97.500,96.080
0,6,83,84,0.179,0.498,0.6572,0.7239,77.500,78.340,97.500,96.490
0,7,83,84,0.175,0.495,0.8237,0.6925,77.500,79.050,97.500,96.620
0,8,83,84,0.182,0.495,0.7455,0.6706,75.000,79.810,95.000,96.810
0,9,83,84,0.175,0.490,0.7382,0.6937,75.000,79.170,100.000,96.340
0,10,83,84,0.185,0.493,0.7787,0.6588,85.000,80.060,95.000,96.390
0,11,83,84,0.178,0.495,0.3661,0.6836,85.000,79.730,100.000,96.490
0,12,83,84,0.183,0.495,0.3959,0.6566,90.000,79.850,100.000,96.750
0,13,83,84,0.181,0.506,0.6470,0.6717,80.000,79.900,100.000,96.610
0,14,83,84,0.184,0.497,0.8864,0.6799,72.500,79.410,92.500,96.760
0,15,83,84,0.179,0.496,0.6237,0.6868,77.500,79.520,95.000,96.430
0,16,83,84,0.180,0.509,0.8502,0.7013,80.000,79.140,100.000,96.380
0,17,83,84,0.190,0.501,0.7631,0.7231,67.500,78.230,97.500,96.060
0,18,83,84,0.186,0.493,0.7732,0.7124,80.000,78.750,97.500,96.160
0,19,83,84,0.180,0.505,0.5926,0.7879,87.500,76.450,100.000,95.830
0,20,83,84,0.182,0.497,0.7623,0.8107,80.000,76.320,100.000,95.430
0,21,83,84,0.178,0.499,0.9541,0.7605,67.500,77.570,95.000,95.690
0,22,83,84,0.211,0.501,0.8260,0.7497,82.500,78.770,97.500,95.920
0,23,83,84,0.179,0.498,0.4748,0.7860,85.000,77.180,97.500,95.610
0,24,83,84,0.182,0.503,1.0291,0.7585,72.500,77.920,90.000,95.550
0,25,83,84,0.176,0.507,0.7769,0.7796,77.500,77.240,97.500,95.610
0,26,83,84,0.178,0.502,0.4893,0.7738,85.000,77.460,97.500,95.720
0,27,83,84,0.197,0.503,0.8840,0.7900,77.500,76.920,97.500,95.490
0,28,83,84,0.197,0.498,0.5346,0.7896,85.000,77.590,95.000,95.400
0,29,83,84,0.193,0.491,0.6862,0.7829,77.500,77.190,95.000,95.670
0,30,83,84,0.177,0.496,0.7317,0.8020,82.500,76.720,95.000,95.520
0,31,83,84,0.176,0.499,0.4978,0.7811,87.500,77.150,97.500,95.590
0,32,83,84,0.186,0.497,0.8577,0.7809,72.500,77.390,97.500,95.800
0,33,83,84,0.191,0.496,0.8302,0.7781,75.000,76.900,97.500,95.950
0,34,83,84,0.184,0.498,0.9074,0.7690,77.500,77.370,90.000,95.800
0,35,83,84,0.177,0.494,1.0531,0.7865,75.000,77.390,90.000,95.840
0,36,83,84,0.197,0.492,0.8997,0.7977,77.500,76.940,90.000,95.570
0,37,83,84,0.182,0.502,0.5932,0.7779,75.000,77.810,100.000,95.380
0,38,83,84,0.192,0.490,1.1716,0.8127,67.500,76.980,95.000,95.620
0,39,83,84,0.175,0.501,0.4694,0.7566,87.500,78.540,97.500,95.940
0,40,83,84,0.192,0.493,0.5632,0.7708,85.000,77.980,100.000,95.680
0,41,83,84,0.190,0.502,0.9260,0.8052,75.000,77.440,90.000,95.700
0,42,83,84,0.182,0.495,0.5753,0.7891,90.000,77.570,97.500,95.470
0,43,83,84,0.184,0.499,0.5271,0.8231,85.000,76.960,97.500,95.420
0,44,83,84,0.188,0.492,1.0529,0.7980,75.000,77.130,92.500,95.690
0,45,83,84,0.238,0.502,1.1141,0.7986,67.500,77.320,92.500,95.300
0,46,83,84,0.175,0.493,0.7187,0.7803,75.000,77.810,97.500,95.620
0,47,83,84,0.188,0.504,0.7590,0.8805,77.500,75.310,100.000,94.830
0,48,83,84,0.179,0.499,0.2251,0.8019,92.500,76.930,100.000,95.340
0,49,83,84,0.212,0.494,0.5814,0.7740,87.500,77.930,95.000,95.590
0,50,83,84,0.181,0.498,0.6273,0.8655,77.500,75.930,97.500,95.060
0,51,83,84,0.191,0.500,0.6401,0.8304,85.000,76.820,95.000,95.180
0,52,83,84,0.177,0.497,0.4698,0.8176,92.500,77.200,97.500,95.120
0,53,83,84,0.182,0.507,0.6160,0.8298,82.500,76.790,97.500,95.240
0,54,83,84,0.180,0.503,0.8876,0.8002,80.000,77.760,97.500,95.320
0,55,83,84,0.183,0.505,0.5829,0.7964,82.500,77.730,97.500,95.590
0,56,83,84,0.186,0.508,0.7932,0.8075,72.500,77.500,97.500,95.280
0,57,83,84,0.185,0.498,0.7967,0.8266,77.500,76.330,95.000,95.210
0,58,83,84,0.190,0.497,0.7771,0.8076,70.000,77.440,95.000,95.340
0,59,83,84,0.185,0.504,0.4437,0.7653,85.000,78.550,100.000,95.630
0,60,83,84,0.179,0.499,1.4134,0.8426,65.000,76.810,85.000,95.090
0,61,83,84,0.177,0.504,0.7901,0.7871,70.000,77.870,97.500,95.550
0,62,83,84,0.182,0.503,0.7328,0.8455,77.500,76.860,95.000,95.180
0,63,83,84,0.184,0.505,0.6604,0.8101,82.500,77.460,95.000,95.460
0,64,83,84,0.181,0.498,0.3911,0.7909,92.500,77.910,97.500,95.640
0,65,83,84,0.193,0.498,0.5943,0.8181,85.000,77.330,100.000,95.370
0,66,83,84,0.190,0.501,0.5975,0.8178,77.500,77.640,95.000,95.480
0,67,83,84,0.195,0.510,1.0338,0.8099,75.000,78.120,85.000,95.300
0,68,83,84,0.184,0.496,0.6324,0.7967,82.500,77.980,100.000,95.740
0,69,83,84,0.182,0.501,0.6190,0.8644,85.000,76.640,100.000,95.080
0,70,83,84,0.198,0.499,1.2794,0.8209,72.500,77.830,95.000,95.450
0,71,83,84,0.188,0.501,0.7763,0.8173,80.000,78.370,95.000,95.590
0,72,83,84,0.181,0.495,0.7907,0.8070,80.000,77.350,95.000,95.090
0,73,83,84,0.191,0.494,1.0556,0.8419,67.500,76.960,95.000,95.190
0,74,83,84,0.180,0.493,0.5098,0.8062,82.500,78.180,100.000,95.590
0,75,83,84,0.206,0.504,1.0532,0.8459,77.500,76.840,92.500,95.080
0,76,83,84,0.179,0.513,1.4677,0.8901,77.500,75.200,90.000,94.920
0,77,83,84,0.181,0.526,1.1289,0.8878,72.500,75.740,90.000,94.850
0,78,83,84,0.180,0.504,0.8800,0.8150,82.500,77.850,95.000,95.570
0,79,83,84,0.187,0.495,1.5948,0.8149,65.000,77.280,87.500,95.100
0,80,83,84,0.190,0.497,0.8304,0.8853,80.000,75.860,95.000,95.130
0,81,83,84,0.182,0.502,0.8646,0.8253,80.000,77.110,92.500,95.000
0,82,83,84,0.177,0.504,0.5836,0.8233,85.000,77.360,97.500,95.360
0,83,83,84,0.206,0.502,0.9556,0.8651,67.500,76.100,92.500,95.050
1,84,83,84,0.175,0.497,2.3823,2.8283,55.000,45.620,70.000,76.060
1,85,83,84,0.187,0.501,0.7842,0.9458,82.500,74.030,95.000,94.000
1,86,83,84,0.179,0.500,1.1163,0.8484,72.500,76.140,95.000,95.020
1,87,83,84,0.182,0.496,0.9555,0.8428,72.500,77.520,97.500,95.130
1,88,83,84,0.180,0.502,0.9859,0.8364,75.000,77.150,87.500,95.040
1,89,83,84,0.187,0.500,1.4408,0.8534,62.500,77.260,95.000,95.090
1,90,83,84,0.184,0.502,1.0232,0.7708,70.000,78.480,95.000,95.940
1,91,83,84,0.204,0.512,0.4221,0.8358,87.500,77.360,97.500,95.180
