Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,556,3.421,3.421,0.696,0.696,4.6052,4.6052,0.000,0.000,2.222,2.222,0.0100,0.0265922,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,200,556,2.819,1.695,0.637,0.670,4.1917,4.4201,5.556,4.395,25.556,16.772,0.0100,0.0016426,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,0,400,556,2.800,1.691,0.677,0.667,4.0562,4.2825,4.444,5.869,23.333,20.413,0.0100,0.0032680,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,1,0,556,1.972,1.972,0.273,0.273,3.9244,3.9244,12.222,12.222,31.111,31.111,0.0100,0.0032632,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,1,200,556,2.804,1.687,0.268,0.272,3.9477,3.9211,10.000,10.829,32.222,31.338,0.0100,0.0032537,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,1,400,556,2.815,1.687,0.307,0.291,3.8068,3.8921,10.000,11.225,28.889,31.909,0.0100,0.0032408,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,2,0,556,1.979,1.979,0.276,0.276,3.8084,3.8084,7.778,7.778,21.111,21.111,0.0100,0.0032287,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,2,200,556,2.803,1.688,0.245,0.254,3.5671,3.7619,24.444,13.228,40.000,35.086,0.0100,0.0032107,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,2,400,556,2.798,1.687,0.293,0.264,3.5235,3.7403,21.111,13.599,45.556,35.841,0.0100,0.0031903,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,3,0,556,1.968,1.968,0.265,0.265,3.6852,3.6852,15.556,15.556,37.778,37.778,0.0100,0.0036752,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,3,200,556,2.798,1.687,0.257,0.259,3.5162,3.5837,23.333,16.556,47.778,40.818,0.0100,0.0037129,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
0,3,400,556,2.811,1.686,0.299,0.273,3.5276,3.5962,16.667,16.221,42.222,40.618,0.0100,0.0036930,4.6104 M,4.6104 M, 56623104.0000 M, 56623104.0000 M
