Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,111,112,0.264,1.224,3.8014,3.9330,10.000,10.850,40.000,31.330
0,1,111,112,0.145,0.825,3.0126,3.7297,50.000,13.940,70.000,36.770
0,2,111,112,0.131,0.786,3.4442,3.5561,20.000,16.720,50.000,40.960
0,3,111,112,0.139,0.811,3.3996,3.5367,20.000,17.150,40.000,41.000
0,4,111,112,0.127,0.777,2.8933,3.3405,30.000,20.740,70.000,47.920
0,5,111,112,0.148,0.843,3.4922,3.5234,0.000,17.060,60.000,42.280
0,6,111,112,0.136,0.838,3.1443,3.4030,20.000,19.910,50.000,44.990
0,7,111,112,0.157,0.854,2.7976,3.4550,40.000,17.540,70.000,44.730
0,8,111,112,0.138,0.849,3.8462,3.4093,10.000,19.650,30.000,44.330
0,9,111,112,0.136,0.862,3.3798,3.4886,20.000,15.700,50.000,42.360
0,10,111,112,0.138,0.846,2.9652,3.0099,10.000,27.090,70.000,56.300
0,11,111,112,0.137,0.857,3.3228,3.3934,30.000,18.730,40.000,44.870
0,12,111,112,0.138,0.856,4.3658,3.4025,0.000,18.860,10.000,44.650
0,13,111,112,0.134,0.848,2.0185,3.0534,50.000,25.560,80.000,55.910
0,14,111,112,0.142,0.843,3.0144,3.0112,20.000,25.780,50.000,55.660
0,15,111,112,0.137,0.856,3.6473,3.0460,10.000,25.420,30.000,54.960
0,16,111,112,0.136,0.846,2.6025,3.3936,40.000,18.440,90.000,45.300
0,17,111,112,0.138,0.854,2.2104,3.0017,50.000,25.690,80.000,55.890
0,18,111,112,0.139,0.863,2.9648,2.7712,50.000,30.910,60.000,61.460
0,19,111,112,0.137,0.852,2.8598,2.7266,30.000,31.660,40.000,62.320
0,20,111,112,0.152,0.933,2.4965,2.6700,30.000,33.070,60.000,63.250
0,21,111,112,0.137,0.905,2.4147,2.7222,40.000,31.260,80.000,61.990
0,22,111,112,0.138,0.881,2.5949,2.7373,40.000,30.840,60.000,62.330
0,23,111,112,0.152,0.878,3.2387,2.6475,10.000,33.200,40.000,63.630
0,24,111,112,0.137,0.851,2.8735,2.5992,20.000,33.520,70.000,65.240
0,25,111,112,0.142,1.001,2.1254,2.4621,70.000,37.360,90.000,67.690
0,26,111,112,0.138,0.858,2.1428,2.5297,60.000,35.450,70.000,66.780
0,27,111,112,0.147,0.869,2.1621,2.6060,50.000,34.050,80.000,64.470
0,28,111,112,0.137,0.860,2.0583,2.4435,50.000,37.490,80.000,68.370
