Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,1042,11.128,11.128,9.816,9.816,4.7169,4.7169,0.000,0.000,4.167,4.167,0.0100,0.0505242,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,200,1042,0.417,0.468,0.000,0.049,2.8527,3.9463,35.417,13.599,72.917,33.292,0.0100,0.0000000,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,400,1042,0.679,0.446,0.000,0.025,2.0212,3.1841,50.000,28.398,72.917,53.076,0.0100,0.0004469,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,600,1042,0.432,0.439,0.000,0.017,1.8853,2.7343,43.750,36.921,79.167,62.767,0.0100,0.0000000,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,800,1042,0.700,0.437,0.000,0.013,1.3504,2.4558,64.583,42.158,89.583,68.160,0.0100,0.0008524,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,0,1000,1042,0.439,0.435,0.000,0.010,1.9553,2.2725,43.750,45.527,70.833,71.491,0.0100,0.0000000,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,0,1042,0.675,0.675,0.188,0.188,1.3970,1.3970,58.333,58.333,83.333,83.333,0.0100,0.0012898,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,200,1042,0.437,0.432,0.000,0.001,1.1421,1.3785,66.667,62.852,91.667,87.345,0.0100,0.0000000,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,400,1042,0.701,0.434,0.000,0.001,1.5359,1.3532,62.500,63.690,83.333,87.490,0.0100,0.0017608,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,600,1042,0.436,0.433,0.000,0.001,1.5118,1.3496,62.500,63.852,83.333,87.295,0.0100,0.0000000,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
0,1,800,1042,0.713,0.434,0.000,0.001,1.5833,1.3379,68.750,64.042,85.417,87.461,0.0100,0.0022377,2.3064 M,2.3064 M, 14155776.0000 M, 14155776.0000 M
