Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,715,17.676,17.676,10.723,10.723,5.3015,5.3015,0.000,0.000,0.714,0.714,0.0100,0.0330584,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,0,200,715,0.358,0.550,0.001,0.308,4.9396,5.1899,6.429,2.488,19.286,8.287,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,0,400,715,0.632,0.520,0.001,0.278,4.3661,4.9052,12.143,6.621,37.857,17.862,0.0100,0.0002256,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,0,600,715,0.363,0.499,0.000,0.255,3.8350,4.6191,26.429,10.927,48.571,26.179,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,1,0,715,1.805,1.805,1.343,1.343,3.6738,3.6738,23.571,23.571,48.571,48.571,0.0100,0.0004350,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,1,200,715,0.821,0.606,0.682,0.358,2.9673,3.4254,40.000,29.197,67.143,55.380,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,1,400,715,1.045,0.598,0.608,0.358,2.9652,3.2923,38.571,31.247,66.429,57.948,0.0100,0.0006418,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,1,600,715,0.714,0.585,0.577,0.379,2.7357,3.1823,46.429,33.078,67.857,59.611,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,2,0,715,0.942,0.942,0.494,0.494,2.6745,2.6745,37.143,37.143,67.857,67.857,0.0100,0.0008736,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,2,200,715,0.363,0.365,0.001,0.003,2.6147,2.7078,49.286,41.301,67.857,67.367,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,2,400,715,0.636,0.365,0.000,0.002,2.4326,2.6485,42.857,42.150,75.714,68.274,0.0100,0.0011021,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,2,600,715,0.366,0.364,0.001,0.001,2.2772,2.5977,55.714,42.869,75.000,68.923,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,3,0,715,0.858,0.858,0.443,0.443,2.2708,2.2708,54.286,54.286,77.143,77.143,0.0100,0.0013387,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,3,200,715,0.365,0.365,0.001,0.003,2.5053,2.3506,43.571,47.516,68.571,72.520,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,3,400,715,0.634,0.366,0.000,0.001,2.3178,2.3221,50.000,47.750,72.857,72.859,0.0100,0.0015409,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,3,600,715,0.365,0.365,0.001,0.001,2.1487,2.2982,49.286,48.104,75.000,73.211,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,4,0,715,0.876,0.876,0.457,0.457,2.3338,2.3338,47.857,47.857,69.286,69.286,0.0100,0.0017499,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,4,200,715,0.365,0.366,0.001,0.003,1.9401,2.1510,52.857,50.796,77.857,75.195,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,4,400,715,0.648,0.366,0.001,0.001,2.0233,2.1271,56.429,51.113,79.286,75.337,0.0100,0.0019286,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,4,600,715,0.366,0.365,0.001,0.001,1.8198,2.1123,59.286,51.368,78.571,75.534,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,5,0,715,0.815,0.815,0.397,0.397,2.1997,2.1997,53.571,53.571,74.286,74.286,0.0100,0.0020226,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,5,200,715,0.365,0.366,0.000,0.002,2.0517,2.0011,52.143,53.756,77.143,77.075,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,5,400,715,0.640,0.366,0.001,0.001,1.8633,2.0031,55.714,53.484,79.286,76.942,0.0100,0.0021388,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,5,600,715,0.370,0.365,0.001,0.001,2.0082,1.9917,53.571,53.694,80.000,77.058,0.0100,0.0000000,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
0,6,0,715,1.003,1.003,0.584,0.584,1.7770,1.7770,59.286,59.286,82.143,82.143,0.0100,0.0022370,1695.6500 M,1695.6500 M, 11674240.0000 M, 11264640.0000 M
