Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,199,200,0.706,0.725,1.5890,1.4717,60.000,64.990,90.000,86.870
0,1,199,200,0.267,0.263,1.3246,1.2935,66.000,67.310,86.000,88.580
0,2,199,200,0.283,0.260,1.5484,1.4778,64.000,63.400,90.000,85.800
0,3,199,200,0.246,0.259,2.1340,1.5615,46.000,61.020,78.000,84.700
0,4,199,200,0.268,0.258,1.8338,1.5934,56.000,60.260,76.000,84.050
0,5,199,200,0.251,0.260,1.8131,1.6940,64.000,58.680,82.000,82.490
0,6,199,200,0.251,0.260,1.5905,1.5281,64.000,62.420,82.000,84.860
0,7,199,200,0.251,0.259,1.2403,1.5425,76.000,61.640,88.000,84.870
0,8,199,200,0.261,0.270,1.9692,1.6923,54.000,58.260,82.000,82.590
0,9,199,200,0.307,0.285,1.8775,1.6086,64.000,59.960,78.000,83.310
0,10,199,200,0.340,0.346,1.6778,1.5596,68.000,61.270,80.000,84.620
0,11,199,200,0.253,0.258,1.1668,1.5644,66.000,61.050,88.000,84.580
0,12,199,200,0.738,0.768,1.7117,1.4776,56.000,62.900,86.000,85.830
0,13,199,200,0.236,0.261,1.5727,1.5214,58.000,61.790,84.000,85.390
0,14,199,200,0.251,0.264,1.4722,1.4965,52.000,62.610,88.000,85.330
0,15,199,200,0.251,0.262,1.6048,1.5772,42.000,61.230,92.000,84.030
0,16,199,200,0.251,0.262,2.3587,1.6490,48.000,59.280,72.000,83.470
0,17,199,200,0.283,0.299,1.7990,1.6220,58.000,59.930,76.000,83.660
0,18,199,200,0.382,0.294,1.7471,1.5112,54.000,62.560,82.000,84.660
0,19,199,200,0.235,0.258,1.7273,1.5714,68.000,60.960,76.000,84.460
1,20,199,200,0.313,0.288,1.7042,1.8078,56.000,55.790,80.000,81.330
1,21,199,200,0.251,0.266,1.3432,1.5753,66.000,60.880,84.000,84.330
1,22,199,200,0.324,0.284,1.7998,1.6451,56.000,59.400,86.000,83.420
1,23,199,200,0.258,0.278,1.3333,1.4381,66.000,64.230,86.000,85.930
1,24,199,200,0.265,0.267,1.0638,1.4493,74.000,64.340,92.000,85.920
1,25,199,200,0.257,0.265,1.6841,1.4061,52.000,64.860,82.000,86.570
1,26,199,200,0.264,0.265,1.5177,1.3675,58.000,65.830,86.000,87.020
1,27,199,200,0.264,0.263,1.5084,1.3869,64.000,66.050,80.000,87.350
1,28,199,200,0.252,0.264,0.8548,1.3651,78.000,66.690,92.000,87.370
1,29,199,200,0.268,0.264,1.2567,1.3475,68.000,66.780,88.000,87.230
1,30,199,200,0.265,0.264,0.9792,1.3106,74.000,67.720,92.000,87.550
1,31,199,200,0.264,0.261,1.3170,1.3215,70.000,67.990,86.000,87.760
1,32,199,200,0.271,0.264,1.1065,1.3618,74.000,66.730,94.000,87.440
1,33,199,200,0.262,0.264,1.2130,1.3342,68.000,67.560,90.000,87.770
1,34,199,200,0.252,0.264,1.1129,1.3233,72.000,67.610,92.000,88.150
1,35,199,200,0.251,0.262,1.1877,1.2921,72.000,68.000,92.000,88.090
1,36,199,200,0.252,0.261,0.8667,1.2961,76.000,68.610,96.000,88.100
1,37,199,200,0.260,0.261,1.1044,1.2957,68.000,68.700,90.000,88.260
1,38,199,200,0.260,0.264,1.0606,1.3213,68.000,68.420,94.000,88.220
1,39,199,200,0.264,0.262,0.9134,1.2887,76.000,68.630,94.000,88.210
1,40,199,200,0.252,0.263,1.4571,1.2863,64.000,69.300,88.000,88.470
1,41,199,200,0.270,0.263,1.3080,1.2985,70.000,68.510,90.000,88.330
1,42,199,200,0.270,0.263,1.0513,1.2957,70.000,68.280,94.000,88.350
1,43,199,200,0.257,0.265,1.3689,1.2899,68.000,68.660,86.000,88.690
1,44,199,200,0.258,0.262,1.5810,1.2928,64.000,69.720,82.000,88.440
1,45,199,200,0.268,0.262,1.2612,1.3109,72.000,68.610,90.000,88.270
1,46,199,200,0.296,0.264,1.2409,1.3233,72.000,68.780,90.000,88.070
