Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
0,0,199,200,0.706,0.725,1.5890,1.4717,60.000,64.990,90.000,86.870
0,1,199,200,0.267,0.263,1.3246,1.2935,66.000,67.310,86.000,88.580
0,2,199,200,0.283,0.260,1.5484,1.4778,64.000,63.400,90.000,85.800
0,3,199,200,0.246,0.259,2.1340,1.5615,46.000,61.020,78.000,84.700
0,4,199,200,0.268,0.258,1.8338,1.5934,56.000,60.260,76.000,84.050
0,5,199,200,0.251,0.260,1.8131,1.6940,64.000,58.680,82.000,82.490
0,6,199,200,0.251,0.260,1.5905,1.5281,64.000,62.420,82.000,84.860
0,7,199,200,0.251,0.259,1.2403,1.5425,76.000,61.640,88.000,84.870
0,8,199,200,0.261,0.270,1.9692,1.6923,54.000,58.260,82.000,82.590
0,9,199,200,0.307,0.285,1.8775,1.6086,64.000,59.960,78.000,83.310
0,10,199,200,0.340,0.346,1.6778,1.5596,68.000,61.270,80.000,84.620
0,11,199,200,0.253,0.258,1.1668,1.5644,66.000,61.050,88.000,84.580
0,12,199,200,0.738,0.768,1.7117,1.4776,56.000,62.900,86.000,85.830
0,13,199,200,0.236,0.261,1.5727,1.5214,58.000,61.790,84.000,85.390
0,14,199,200,0.251,0.264,1.4722,1.4965,52.000,62.610,88.000,85.330
0,15,199,200,0.251,0.262,1.6048,1.5772,42.000,61.230,92.000,84.030
0,16,199,200,0.251,0.262,2.3587,1.6490,48.000,59.280,72.000,83.470
0,17,199,200,0.283,0.299,1.7990,1.6220,58.000,59.930,76.000,83.660
0,18,199,200,0.382,0.294,1.7471,1.5112,54.000,62.560,82.000,84.660
0,19,199,200,0.235,0.258,1.7273,1.5714,68.000,60.960,76.000,84.460
