Search,Epoch,iteration,train_loader_data,batch_time,batch_time(AVG),data_time,data_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG),Learning Rate,ErrorRMSI,sparse(FLOPS),dense(FLOPS), DenseParameters, SparseParameters
0,0,0,2223,11.942,11.942,9.413,9.413,2.3008,2.3008,11.111,11.111,55.556,55.556,0.0100,0.0214195,3085.2225 M,6148.7684 M, 850976.0000 M, 426032.0000 M
0,0,200,2223,0.962,0.493,0.000,0.047,1.9058,2.1671,27.778,17.938,77.778,68.436,0.0100,0.0012171,3085.2225 M,6148.7684 M, 850976.0000 M, 426032.0000 M
0,0,400,2223,0.956,0.465,0.000,0.024,1.9589,2.1241,27.778,19.424,83.333,71.640,0.0100,0.0013999,3085.2225 M,6148.7684 M, 850976.0000 M, 426032.0000 M
0,0,600,2223,0.991,0.456,0.000,0.016,1.8236,2.0981,38.889,20.632,83.333,73.479,0.0100,0.0013886,3085.2225 M,6148.7684 M, 850976.0000 M, 426032.0000 M
1,0,800,2223,0.749,0.451,0.000,0.012,2.1759,2.0872,22.222,21.029,55.556,74.109,0.0100,0.0014909,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,0,1000,2223,0.443,0.448,0.000,0.010,1.9245,2.0810,27.778,21.207,72.222,74.670,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,0,1200,2223,0.438,0.446,0.000,0.008,1.8722,2.0788,38.889,21.376,83.333,74.868,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,0,1400,2223,0.441,0.445,0.000,0.007,2.0890,2.0716,27.778,21.770,55.556,75.208,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,0,1600,2223,0.440,0.444,0.000,0.006,2.0063,2.0690,16.667,21.924,77.778,75.342,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,0,1800,2223,0.443,0.444,0.000,0.006,2.0051,2.0598,16.667,22.256,77.778,75.884,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,0,2000,2223,0.435,0.443,0.002,0.005,2.0018,2.0523,16.667,22.575,88.889,76.237,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,0,2200,2223,0.431,0.443,0.000,0.005,2.1776,2.0448,16.667,22.823,77.778,76.607,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,0,2223,0.295,0.295,0.055,0.055,2.0235,2.0235,22.222,22.222,77.778,77.778,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,200,2223,0.443,0.436,0.000,0.001,2.0586,1.9659,22.222,25.511,72.222,80.404,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,400,2223,0.434,0.436,0.000,0.001,2.2231,1.9533,16.667,26.240,66.667,80.701,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,600,2223,0.444,0.437,0.000,0.001,1.8094,1.9475,38.889,26.715,83.333,80.727,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,800,2223,0.439,0.438,0.002,0.001,1.9226,1.9390,33.333,27.029,88.889,80.878,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,1000,2223,0.445,0.438,0.000,0.001,1.8711,1.9383,38.889,27.045,77.778,80.825,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,1200,2223,0.431,0.438,0.000,0.001,1.9074,1.9361,16.667,27.102,72.222,80.877,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,1400,2223,0.445,0.438,0.000,0.001,1.9022,1.9283,44.444,27.334,77.778,81.327,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,1600,2223,0.444,0.438,0.000,0.001,2.0812,1.9224,22.222,27.521,83.333,81.484,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,1800,2223,0.443,0.438,0.000,0.001,1.8460,1.9179,16.667,27.617,83.333,81.578,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,2000,2223,0.440,0.438,0.000,0.001,2.1121,1.9143,11.111,27.814,72.222,81.748,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,1,2200,2223,0.429,0.439,0.000,0.001,2.0848,1.9084,16.667,28.010,72.222,81.953,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,0,2223,0.267,0.267,0.078,0.078,1.6429,1.6429,38.889,38.889,88.889,88.889,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,200,2223,0.429,0.438,0.000,0.001,1.8600,1.8493,38.889,31.122,83.333,83.997,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,400,2223,0.434,0.438,0.000,0.001,1.7784,1.8295,38.889,32.405,72.222,84.081,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,600,2223,0.435,0.438,0.000,0.001,1.6763,1.8258,38.889,32.169,88.889,84.175,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,800,2223,0.428,0.438,0.000,0.001,1.7643,1.8207,33.333,32.335,88.889,84.235,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,1000,2223,0.439,0.437,0.000,0.001,1.7130,1.8119,44.444,32.684,77.778,84.488,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,1200,2223,0.426,0.437,0.000,0.000,1.8281,1.8102,22.222,32.824,77.778,84.536,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,1400,2223,0.445,0.438,0.000,0.000,1.8523,1.8071,22.222,33.084,83.333,84.555,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,1600,2223,0.430,0.438,0.000,0.000,1.5633,1.8004,27.778,33.424,88.889,84.732,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,1800,2223,0.431,0.437,0.000,0.000,1.4663,1.7966,44.444,33.700,94.444,84.882,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,2000,2223,0.444,0.437,0.000,0.000,1.4022,1.7920,55.556,33.958,94.444,85.052,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,2,2200,2223,0.437,0.437,0.000,0.000,1.7921,1.7865,38.889,34.108,83.333,85.244,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,3,0,2223,0.232,0.232,0.067,0.067,1.6445,1.6445,27.778,27.778,94.444,94.444,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,3,200,2223,0.436,0.434,0.002,0.000,1.4957,1.7221,55.556,36.622,100.000,86.926,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,3,400,2223,0.443,0.434,0.000,0.000,1.3779,1.7114,55.556,37.919,88.889,86.977,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,3,600,2223,0.431,0.434,0.000,0.000,1.4831,1.6985,38.889,38.168,100.000,87.160,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,3,800,2223,0.420,0.434,0.000,0.000,1.4307,1.6906,44.444,38.688,100.000,87.370,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,3,1000,2223,0.427,0.434,0.000,0.000,1.5141,1.6880,44.444,38.806,94.444,87.568,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
1,3,1200,2223,0.436,0.434,0.000,0.000,1.6744,1.6855,44.444,38.907,88.889,87.534,0.0100,0.0000000,3074.3845 M,6148.7684 M, 850976.0000 M, 425808.0000 M
