Search,Epoch,iteration,test_loader_data,batch_time,batch_time(AVG),Loss,Loss(AVG),Prec@1,Prec@1(AVG),Prec@5,Prec@5(AVG)
1,0,555,556,0.238,0.138,1.6317,1.9058,30.000,28.470,100.000,83.210
1,1,555,556,0.079,0.122,1.8862,1.7391,40.000,37.330,80.000,87.230
1,2,555,556,0.075,0.121,2.2642,1.8481,30.000,40.360,80.000,88.860
1,3,555,556,0.078,0.122,1.4146,1.4293,70.000,49.050,90.000,92.890
1,4,555,556,0.079,0.121,1.4013,1.5683,50.000,46.940,100.000,91.610
1,5,555,556,0.079,0.122,1.7734,1.3341,30.000,53.720,90.000,93.710
1,6,555,556,0.079,0.120,1.2682,1.3793,60.000,52.010,90.000,92.580
1,7,555,556,0.079,0.121,1.9380,1.3453,30.000,53.100,70.000,93.700
1,8,555,556,0.080,0.122,1.3199,1.2913,60.000,55.970,100.000,94.510
1,9,555,556,0.064,0.123,0.5652,1.2703,70.000,58.390,100.000,95.310
1,10,555,556,0.079,0.121,0.9710,1.3818,60.000,59.230,100.000,95.450
1,11,555,556,0.078,0.126,1.0083,1.1902,80.000,59.580,100.000,95.530
1,12,555,556,0.076,0.124,0.7495,1.1096,70.000,62.040,100.000,96.530
1,13,555,556,0.075,0.130,0.7140,1.1542,80.000,61.220,100.000,96.130
1,14,555,556,0.076,0.124,1.0282,1.1819,60.000,63.570,100.000,96.260
1,15,555,556,0.096,0.123,0.5534,1.1572,80.000,61.430,100.000,95.670
1,16,555,556,0.075,0.123,0.5861,1.2185,80.000,62.160,100.000,96.450
1,17,555,556,0.074,0.123,0.7232,1.0332,80.000,64.790,100.000,96.750
1,18,555,556,0.076,0.123,1.2665,1.0330,50.000,65.400,90.000,96.530
1,19,555,556,0.074,0.123,1.1548,0.9855,60.000,65.720,90.000,97.240
1,20,555,556,0.076,0.127,1.6182,0.9709,40.000,66.720,100.000,96.730
1,21,555,556,0.079,0.124,0.8935,1.0064,70.000,66.280,100.000,97.030
1,22,555,556,0.064,0.121,1.0737,1.0446,60.000,65.120,90.000,96.760
1,23,555,556,0.080,0.121,1.0390,0.9947,40.000,67.830,100.000,97.200
1,24,555,556,0.079,0.120,0.7547,0.9457,60.000,68.090,100.000,97.300
1,25,555,556,0.079,0.120,1.4158,0.9730,60.000,68.950,90.000,97.480
1,26,555,556,0.069,0.120,1.0415,0.8812,70.000,69.580,90.000,97.500
1,27,555,556,0.080,0.130,0.7688,0.9312,90.000,68.220,100.000,97.050
1,28,555,556,0.080,0.121,0.8990,0.9441,70.000,69.790,90.000,97.450
1,29,555,556,0.076,0.120,0.5214,0.9912,90.000,69.510,100.000,97.610
1,30,555,556,0.077,0.123,1.2202,1.0431,50.000,69.890,90.000,97.550
1,31,555,556,0.075,0.123,0.6251,0.9062,70.000,69.270,100.000,97.760
1,32,555,556,0.081,0.131,0.6116,0.8824,70.000,71.110,100.000,97.750
